,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"BZip2          9.321889e+16
Deflate        9.321889e+16
LZMA2          9.321889e+16
LZMA           9.321889e+16
PPMd           9.321889e+16
x_10           2.267035e+04
x_8            1.314400e+04
x_6            6.670000e+03
filterOff      1.596000e+03
mtOff          5.920000e+02
#yes           3.600000e+02
BlockSize_1    3.210000e+02
dtype: float64","count    3682.000000
mean       55.181214
std        52.379320
min         0.000000
25%        15.684202
50%        35.658743
75%        85.751244
max       284.724919
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')","Lasso(alpha=10, max_iter=1)",Performance,0.1,"x_10           20995.809778
x_8            12234.286610
x_6             6072.211983
BZip2           4485.924062
PPMd            2580.374358
Deflate         1718.896296
filterOff        924.699580
LZMA2            462.275807
BlockSize_1      386.467529
LZMA             231.903916
mtOff            119.479007
#yes             111.379495
dtype: float64","count    3682.000000
mean       56.380267
std        53.548497
min         0.003349
25%        16.167196
50%        30.457065
75%        98.875880
max       254.255906
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"x_10           21204.378829
x_8            11732.106234
x_6             5794.654013
BZip2           3641.279231
PPMd            3247.761399
filterOff       1439.996057
LZMA             628.386536
mtOff            505.504855
Deflate          480.942539
#yes             362.154809
BlockSize_1      317.790187
LZMA2            246.073836
dtype: float64","count    3682.000000
mean       51.900710
std        49.066418
min         0.011405
25%        15.535237
50%        31.592242
75%        84.034377
max       265.031439
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')","ElasticNet(alpha=0.01, max_iter=5)",Performance,0.1,"x_10           21171.731921
x_8            11712.136594
x_6             5777.329650
BZip2           4314.882793
PPMd            2583.284395
filterOff       1399.216770
Deflate         1154.319582
mtOff            440.597213
LZMA2            404.460722
#yes             325.483786
BlockSize_1      320.866091
LZMA              16.871640
dtype: float64","count    3682.000000
mean       51.973167
std        49.044910
min         0.009697
25%        15.836563
50%        31.451397
75%        84.353018
max       264.329963
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           12843.760306
x_8             4325.534651
x_6             1495.863834
mtOff           1444.771132
#yes            1407.079589
BZip2           1263.410635
PPMd            1005.177974
BlockSize_1      612.183989
Deflate          508.970573
filterOff        457.161796
LZMA2            283.311916
LZMA              32.574004
dtype: float64","count    3682.000000
mean        9.113096
std         7.766731
min         0.003512
25%         3.198159
50%         6.981550
75%        13.225033
max        53.353036
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0            x_10
1           BZip2
2         Deflate
3             x_8
4            PPMd
5             x_6
6           LZMA2
7            LZMA
8           mtOff
9            #yes
10    BlockSize_1
11      filterOff
Name: feature, dtype: object","count    3682.000000
mean        7.650807
std        10.660564
min         0.000085
25%         2.106001
50%         4.591779
75%        10.146981
max       189.958787
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0            x_10
1           BZip2
2         Deflate
3             x_8
4            PPMd
5             x_6
7            LZMA
8           mtOff
6           LZMA2
10    BlockSize_1
9            #yes
11      filterOff
Name: feature, dtype: object","count    3682.000000
mean        9.493161
std         7.365261
min         0.007389
25%         3.470500
50%         8.260684
75%        13.733707
max        55.414748
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0            x_10
2         Deflate
1           BZip2
3             x_8
4            PPMd
5             x_6
6           LZMA2
7            LZMA
8           mtOff
9            #yes
10    BlockSize_1
11      filterOff
Name: feature, dtype: object","count    3682.000000
mean        7.124703
std         7.436412
min         0.000000
25%         1.889500
50%         4.415978
75%         9.981915
max        48.663102
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10           22381.631326
x_8            13606.969683
x_6             6957.437873
PPMd            3344.514480
BZip2           3182.056687
Deflate          680.445194
filterOff        544.015038
LZMA             382.323058
mtOff            256.278268
LZMA2            135.664343
BlockSize_1       99.678721
#yes               2.792378
dtype: float64","count    3273.000000
mean       51.964094
std        53.919641
min         0.035581
25%         8.855407
50%        24.448486
75%        99.430315
max       271.993844
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'BlockSize_1', 'filterOff'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.2,"x_10         21973.150927
x_8          12861.893916
x_6           6523.471579
BZip2         3131.168913
PPMd          3108.947432
Deflate        672.894769
filterOff      431.348441
LZMA           175.013241
mtOff          153.910382
dtype: float64","count    3273.000000
mean       49.132545
std        51.805287
min         0.026575
25%         7.893662
50%        20.952061
75%        90.087215
max       266.750828
Name: % error, dtype: float64",12
