,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.1,"BZip2          1.144896e+17
Deflate        1.144896e+17
LZMA           1.144896e+17
LZMA2          1.144896e+17
PPMd           1.144896e+17
x_10           2.783480e+04
x_8            1.312800e+04
x_6            7.176000e+03
mtOff          1.512000e+03
BlockSize_1    1.108000e+03
Files_0        7.000000e+02
#yes           5.600000e+02
dtype: float64","count    3682.000000
mean       91.812962
std       101.791260
min         0.000000
25%        24.178036
50%        48.738158
75%       116.874274
max       454.042553
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.1,"x_10           27524.233456
x_8            12854.170700
PPMd            7768.865628
BZip2           7617.884819
x_6             6897.235692
Deflate         2173.065558
mtOff           1317.733175
BlockSize_1      592.767480
#yes             460.646887
Files_0          336.973628
LZMA2            193.762752
dtype: float64","count    3682.000000
mean       83.863051
std        94.502600
min         0.092562
25%        19.986396
50%        43.120278
75%       105.346074
max       411.258760
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.1,"x_10           27658.469858
x_8            13048.231607
PPMd            8272.953689
BZip2           7379.762973
x_6             7091.583007
Deflate         1940.135366
mtOff           1492.424657
BlockSize_1     1115.067409
LZMA2            676.833485
Files_0          658.266416
#yes             522.440698
LZMA             370.111164
dtype: float64","count    3682.000000
mean       86.194638
std        97.217382
min         0.036205
25%        21.969226
50%        45.108673
75%       107.952755
max       435.395459
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=10)",Performance,0.1,"x_10           27524.233456
x_8            12854.170700
PPMd            7768.865628
BZip2           7617.884819
x_6             6897.235692
Deflate         2173.065558
mtOff           1317.733175
BlockSize_1      592.767480
#yes             460.646887
Files_0          336.973628
LZMA2            193.762752
dtype: float64","count    3682.000000
mean       83.863051
std        94.502600
min         0.092562
25%        19.986396
50%        43.120278
75%       105.346074
max       411.258760
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10           12552.414768
x_8             6224.945437
x_6             3058.818316
Deflate         2190.458973
PPMd            1299.481334
BZip2           1189.094807
LZMA2           1160.273857
#yes            1143.360338
LZMA            1140.571643
mtOff            656.988050
Files_0          501.155197
BlockSize_1      119.580951
dtype: float64","count    3682.000000
mean       10.700703
std        12.096786
min         0.000103
25%         2.932251
50%         7.070038
75%        13.501550
max       107.621162
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0            x_10
1           BZip2
2         Deflate
3             x_8
4            PPMd
5             x_6
6           LZMA2
7            LZMA
8           mtOff
9            #yes
10        Files_0
11    BlockSize_1
Name: feature, dtype: object","count    3682.000000
mean        7.614975
std         7.267678
min         0.002785
25%         2.190599
50%         5.390951
75%        11.039325
max        55.971211
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0            x_10
1           BZip2
2         Deflate
3             x_8
4            PPMd
5             x_6
7            LZMA
6           LZMA2
8           mtOff
9            #yes
10        Files_0
11    BlockSize_1
Name: feature, dtype: object","count    3682.000000
mean       12.475935
std        12.768935
min         0.001626
25%         2.604528
50%         7.615431
75%        18.970856
max        59.283118
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0            x_10
1           BZip2
2         Deflate
3             x_8
4            PPMd
5             x_6
8           mtOff
9            #yes
10        Files_0
11    BlockSize_1
7            LZMA
6           LZMA2
Name: feature, dtype: object","count    3682.000000
mean        7.876834
std         7.848294
min         0.000000
25%         1.969769
50%         5.190001
75%        11.727144
max        66.666667
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10           28358.453393
x_8            13002.385962
x_6             7354.616676
PPMd            7343.181329
BZip2           7108.299786
Deflate         1811.094200
mtOff           1546.187934
LZMA2            902.250859
LZMA             673.961797
#yes             556.849953
BlockSize_1      380.950353
Files_0          309.228020
dtype: float64","count    3273.000000
mean       83.391884
std        88.751105
min         0.023477
25%        24.005864
50%        46.706908
75%        96.285237
max       404.667893
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'LZMA2', 'LZMA',
       'mtOff', '#yes', 'Files_0', 'BlockSize_1'],
      dtype='object')","Lasso(alpha=25, max_iter=10)",Performance,0.2,"x_10       28039.184328
x_8        12680.902130
BZip2       7681.077245
x_6         7049.415540
PPMd        6545.384096
Deflate     2374.514160
mtOff       1379.823992
#yes         491.247464
LZMA2         98.525564
Files_0       47.601601
dtype: float64","count    3273.000000
mean       81.012235
std        86.063697
min         0.025750
25%        22.290471
50%        45.185200
75%        96.278281
max       370.510537
Name: % error, dtype: float64",12
