,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"PPMd       4.054995e+16
LZMA2      4.054995e+16
LZMA       4.054995e+16
Deflate    4.054995e+16
BZip2      4.054995e+16
x_10       3.995584e+04
x_8        1.279300e+04
x_6        2.432000e+03
#yes       1.480000e+03
Files_0    1.060000e+03
x_4        7.160000e+02
mtOff      4.520000e+02
dtype: float64","count    3682.000000
mean       59.142047
std        68.672205
min         0.111732
25%        20.374358
50%        31.036683
75%        80.811185
max       519.938462
Name: % error, dtype: float64",12
1,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=100)",Performance,0.1,"x_10       39251.553350
x_8        12196.378048
BZip2       4892.777518
PPMd        3705.041439
x_6         1950.670033
#yes        1326.793116
LZMA2        931.470590
Files_0      768.444304
Deflate      471.825863
x_4          211.875115
mtOff         76.773069
dtype: float64","count    3682.000000
mean       55.359503
std        65.685439
min         0.008751
25%        18.374262
50%        30.227575
75%        72.427167
max       513.501656
Name: % error, dtype: float64",12
2,Ridge,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",Ridge(alpha=0.8),Performance,0.1,"x_10       38649.875283
x_8        12148.003138
BZip2       4797.851326
PPMd        3882.391619
x_6         2043.633051
#yes        1514.469792
LZMA2       1332.391716
Files_0     1049.065226
Deflate      521.550743
mtOff        330.461029
x_4          305.593569
LZMA         104.618734
dtype: float64","count    3682.000000
mean       57.896284
std        66.178124
min         0.006977
25%        19.239474
50%        32.464346
75%        74.554908
max       508.243809
Name: % error, dtype: float64",12
3,ElasticNet,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","ElasticNet(alpha=25, l1_ratio=1.0, max_iter=100)",Performance,0.1,"x_10       39251.553350
x_8        12196.378048
BZip2       4892.777518
PPMd        3705.041439
x_6         1950.670033
#yes        1326.793116
LZMA2        931.470590
Files_0      768.444304
Deflate      471.825863
x_4          211.875115
mtOff         76.773069
dtype: float64","count    3682.000000
mean       55.359503
std        65.685439
min         0.008751
25%        18.374262
50%        30.227575
75%        72.427167
max       513.501656
Name: % error, dtype: float64",12
4,PolynomialRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"x_10       1.690365e+15
BZip2      1.632852e+15
LZMA2      1.289184e+15
#yes       1.070766e+15
LZMA       6.827587e+14
Deflate    5.886509e+14
x_6        4.488343e+14
x_4        4.235877e+14
mtOff      3.575553e+14
Files_0    1.436379e+14
x_8        1.340124e+14
PPMd       8.812731e+13
dtype: float64","count    3682.000000
mean        6.543874
std         9.300683
min         0.002010
25%         1.284913
50%         3.259723
75%         7.657959
max        92.998512
Name: % error, dtype: float64",12
5,RandomForest,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"0        x_10
1       BZip2
2     Deflate
3         x_8
4        PPMd
5         x_6
7       mtOff
6         x_4
8       LZMA2
9        LZMA
11       #yes
10    Files_0
Name: feature, dtype: object","count    3682.000000
mean        5.616084
std         6.835441
min         0.000368
25%         1.248895
50%         3.034167
75%         6.894913
max        39.649413
Name: % error, dtype: float64",12
6,GradientBoostingTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0        x_10
1       BZip2
3         x_8
2     Deflate
4        PPMd
5         x_6
8       LZMA2
9        LZMA
11       #yes
6         x_4
7       mtOff
10    Files_0
Name: feature, dtype: object","count    3682.000000
mean        8.117208
std        11.532483
min         0.000782
25%         1.541432
50%         3.981341
75%        10.331395
max        73.371149
Name: % error, dtype: float64",12
7,DecisionTree,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0        x_10
1       BZip2
2     Deflate
3         x_8
4        PPMd
5         x_6
7       mtOff
6         x_4
11       #yes
10    Files_0
8       LZMA2
9        LZMA
Name: feature, dtype: object","count    3682.000000
mean        5.631925
std         7.316425
min         0.000000
25%         1.186029
50%         2.949549
75%         6.752115
max        52.280702
Name: % error, dtype: float64",12
8,LinearRegression,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"x_10       37095.654223
x_8        12673.603718
BZip2       4923.222831
PPMd        4660.678241
x_6         2390.003998
Files_0     1595.596882
#yes        1310.105378
LZMA2       1057.822967
Deflate      815.507143
x_4          560.130893
mtOff        221.093074
LZMA          20.228765
dtype: float64","count    3273.000000
mean       64.589634
std        71.901782
min         0.051474
25%        20.323175
50%        32.161647
75%        81.137075
max       474.376910
Name: % error, dtype: float64",12
9,Lasso,False,RandomForest,"Index(['x_10', 'BZip2', 'Deflate', 'x_8', 'PPMd', 'x_6', 'x_4', 'mtOff',
       'LZMA2', 'LZMA', 'Files_0', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"x_10       36407.876286
x_8        11989.573684
BZip2       5801.609730
PPMd        3676.861015
x_6         1857.086384
Deflate     1579.714886
#yes        1282.661387
Files_0     1256.674456
LZMA         586.746362
x_4           71.083457
mtOff         57.740252
dtype: float64","count    3273.000000
mean       62.320581
std        68.472674
min         0.090037
25%        19.355029
50%        35.295361
75%        80.227858
max       466.583287
Name: % error, dtype: float64",12
