,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,12,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:49:53.462215,2023-06-21 01:50:10.675849
10,distBased,0.3,12,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:50:10.680042,2023-06-21 01:50:34.848366
20,distBased,0.3,12,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:50:34.857107,2023-06-21 01:51:10.012838
30,distBased,0.3,12,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:51:10.025503,2023-06-21 01:51:54.284285
40,distBased,0.3,12,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:51:54.292750,2023-06-21 01:52:53.180997
50,distBased,0.3,12,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:52:53.189366,2023-06-21 01:54:03.461035
60,distBased,0.3,12,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:54:03.471326,2023-06-21 01:55:21.725797
70,distBased,0.3,12,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:55:21.734630,2023-06-21 01:56:25.491859
80,distBased,0.3,12,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:56:25.500675,2023-06-21 01:57:11.296111
90,distBased,0.3,12,True,RandomForest,DecisionTree,,,2023-06-21 01:49:52.740739,2023-06-21 01:57:11.325580
100,distBased,0.4,16,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:57:22.627699,2023-06-21 01:57:45.168804
110,distBased,0.4,16,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:57:45.179701,2023-06-21 01:58:14.803950
120,distBased,0.4,16,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:58:14.812948,2023-06-21 01:58:47.663786
130,distBased,0.4,16,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:58:47.672567,2023-06-21 01:59:21.439893
140,distBased,0.4,16,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:59:21.471141,2023-06-21 02:00:04.936024
150,distBased,0.4,16,True,RandomForest,DecisionTree,0.6,False,2023-06-21 02:00:04.945463,2023-06-21 02:00:47.684002
