,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,7z,LinearRegression,None,twise,91.97,91.77,95.98
1,7z,LinearRegression,RandomForest,twise,89.20,92.41,93.08
2,7z,Lasso,None,twise,89.26,88.18,89.97
3,7z,Lasso,RandomForest,twise,88.91,90.76,91.48
4,7z,Ridge,None,twise,88.50,89.10,91.90
5,7z,Ridge,RandomForest,twise,89.88,90.07,90.55
6,7z,ElasticNet,None,twise,89.26,88.18,89.97
7,7z,ElasticNet,RandomForest,twise,88.91,90.76,91.48
8,7z,RandomForest,None,twise,3.74,3.31,3.33
9,7z,RandomForest,RandomForest,twise,4.97,4.99,4.77
10,7z,PolynomialRegression,None,twise,nan,nan,nan
11,7z,PolynomialRegression,RandomForest,twise,7.69,7.80,7.84
