,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,7z,LinearRegression,None,twise,104.38,91.97,92.65,95.98
1,7z,LinearRegression,RandomForest,twise,97.26,89.20,91.20,93.08
2,7z,Lasso,None,twise,101.25,89.26,88.37,89.97
3,7z,Lasso,RandomForest,twise,100.71,88.91,87.88,91.48
4,7z,Ridge,None,twise,101.53,88.50,89.00,91.90
5,7z,Ridge,RandomForest,twise,102.55,89.88,89.04,90.55
6,7z,ElasticNet,None,twise,101.25,89.26,88.37,89.97
7,7z,ElasticNet,RandomForest,twise,100.71,88.91,87.88,91.48
8,7z,RandomForest,None,twise,4.53,3.73,3.45,3.35
9,7z,RandomForest,RandomForest,twise,5.21,4.98,4.98,4.76
10,7z,GradientBoostingTree,None,twise,7.93,7.77,7.66,8.18
11,7z,GradientBoostingTree,RandomForest,twise,8.17,8.09,8.18,8.38
12,7z,DecisionTree,None,twise,5.26,4.27,4.01,4.21
13,7z,DecisionTree,RandomForest,twise,5.35,5.04,5.03,4.75
14,7z,PolynomialRegression,None,twise,nan,nan,nan,nan
15,7z,PolynomialRegression,RandomForest,twise,7.70,7.69,7.56,7.84
