,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.1,"PS32K          29.645622
HAVE_CRYPTO    25.002546
PS16K          21.209060
PS8K            8.839943
PS4K            7.057089
dtype: float64","count     327.000000
mean      712.117132
std      1596.403664
min         0.015452
25%         9.251850
50%        18.775984
75%       371.450509
max      6589.168103
Name: % error, dtype: float64",5
1,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","Lasso(alpha=0.01, max_iter=10)",Performance,0.1,"PS32K          28.873717
HAVE_CRYPTO    24.734635
PS16K          20.525770
PS8K            8.277574
PS4K            6.471779
dtype: float64","count     327.000000
mean      697.795597
std      1551.936230
min         0.305676
25%        15.294917
50%        24.179588
75%       361.251093
max      6377.475361
Name: % error, dtype: float64",5
2,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",Ridge(alpha=0.1),Performance,0.1,"PS32K          27.804745
HAVE_CRYPTO    24.070756
PS16K          19.563288
PS8K            7.697379
PS4K            5.791000
dtype: float64","count     327.000000
mean      669.399735
std      1474.885113
min         0.106234
25%         6.542760
50%        47.810496
75%       324.532638
max      6038.828600
Name: % error, dtype: float64",5
3,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.01, max_iter=100)",Performance,0.1,"PS32K          26.360546
HAVE_CRYPTO    23.328885
PS16K          18.271934
PS8K            6.798236
PS4K            4.796566
dtype: float64","count     327.000000
mean      637.714184
std      1378.651953
min         0.525976
25%        10.661572
50%        47.823274
75%       286.421194
max      5604.657037
Name: % error, dtype: float64",5
4,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.1,"HAVE_CRYPTO    6.440996
PS32K          5.989596
PS16K          5.960161
PS4K           5.669324
PS8K           2.946648
dtype: float64","count     327.000000
mean      239.890077
std       714.796662
min         0.002766
25%         0.818329
50%         1.555799
75%        35.877232
max      3161.520390
Name: % error, dtype: float64",5
5,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count     327.000000
mean       90.203451
std       245.385255
min         0.006114
25%         1.256109
50%         2.089559
75%        61.196803
max      1357.575136
Name: % error, dtype: float64",5
6,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    327.000000
mean      55.565078
std      174.287952
min        0.398153
25%        1.130745
50%        7.002965
75%       30.490368
max      991.862654
Name: % error, dtype: float64",5
7,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count     327.000000
mean      111.264945
std       388.936349
min         0.002766
25%         0.818329
50%         1.555799
75%        35.877232
max      2176.915124
Name: % error, dtype: float64",5
8,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.2,"PS32K          29.620937
HAVE_CRYPTO    23.678540
PS16K          20.118789
PS8K            9.954379
PS4K            7.698870
dtype: float64","count     291.000000
mean      700.907348
std      1529.337926
min         3.655959
25%        10.957179
50%        18.560511
75%       318.990976
max      6184.377159
Name: % error, dtype: float64",5
9,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.2,"PS32K          29.254947
HAVE_CRYPTO    23.547263
PS16K          19.760533
PS8K            9.613115
PS4K            7.355619
dtype: float64","count     291.000000
mean      693.361114
std      1505.027863
min         4.123367
25%        11.806745
50%        19.669612
75%       313.233145
max      6072.681631
Name: % error, dtype: float64",5
10,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",Ridge(alpha=0.02),Performance,0.2,"PS32K          29.429983
HAVE_CRYPTO    23.598147
PS16K          19.942387
PS8K            9.807911
PS4K            7.549531
dtype: float64","count     291.000000
mean      696.504594
std      1516.407962
min         4.308686
25%        11.281191
50%        18.738911
75%       315.020162
max      6127.331575
Name: % error, dtype: float64",5
11,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=100)",Performance,0.2,"PS32K          29.254947
HAVE_CRYPTO    23.547263
PS16K          19.760533
PS8K            9.613115
PS4K            7.355619
dtype: float64","count     291.000000
mean      693.361114
std      1505.027863
min         4.123367
25%        11.806745
50%        19.669612
75%       313.233145
max      6072.681631
Name: % error, dtype: float64",5
12,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.2,"PS16K          5.537106e+13
PS32K          2.657363e+13
PS8K           7.206506e+12
PS4K           5.327562e+12
HAVE_CRYPTO    1.004681e+12
dtype: float64","count    2.910000e+02
mean     2.320954e+14
std      8.425163e+14
min      1.145013e-02
25%      1.741065e+00
50%      4.442454e+00
75%      2.846964e+01
max      3.618076e+15
Name: % error, dtype: float64",5
13,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    291.000000
mean      47.372318
std      115.983033
min        0.117669
25%        1.665244
50%        4.763971
75%       33.472788
max      630.988553
Name: % error, dtype: float64",5
14,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    291.000000
mean      21.476105
std       33.485074
min        0.373800
25%        1.222488
50%        4.466125
75%       27.133548
max      132.220946
Name: % error, dtype: float64",5
15,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.2,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    291.000000
mean      21.628991
std       37.338627
min        0.031074
25%        1.567974
50%        4.412659
75%       29.981961
max      166.449980
Name: % error, dtype: float64",5
16,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.3,"PS32K          25.841316
HAVE_CRYPTO    19.126738
PS16K          15.374361
PS8K            9.155304
PS4K            4.179380
dtype: float64","count     255.000000
mean      488.467394
std      1002.890984
min         2.654901
25%        20.445086
50%        59.787696
75%       155.843143
max      4045.529434
Name: % error, dtype: float64",5
17,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.3,"PS32K          23.360525
HAVE_CRYPTO    18.601343
PS16K          13.015367
PS8K            6.763772
PS4K            1.966543
dtype: float64","count     255.000000
mean      456.208861
std       862.913357
min         0.001579
25%        22.161814
50%        53.217103
75%       245.401828
max      3384.667709
Name: % error, dtype: float64",5
18,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",Ridge(alpha=0.8),Performance,0.3,"PS32K          22.988787
HAVE_CRYPTO    18.154848
PS16K          12.816580
PS8K            6.664933
PS4K            2.038666
dtype: float64","count     255.000000
mean      445.877041
std       828.605064
min         0.784579
25%        23.194461
50%        54.531938
75%       245.634529
max      3257.069579
Name: % error, dtype: float64",5
19,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=5)",Performance,0.3,"PS32K          21.654287
HAVE_CRYPTO    17.791155
PS16K          11.670193
PS8K            5.601518
PS4K            1.135505
dtype: float64","count     255.000000
mean      426.705509
std       755.511224
min         2.356980
25%        22.972313
50%        53.322108
75%       286.791153
max      2918.799666
Name: % error, dtype: float64",5
20,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.3,"PS32K          1.429942e+13
HAVE_CRYPTO    1.200260e+13
PS16K          7.257684e+11
PS8K           7.012423e+11
PS4K           2.583934e+11
dtype: float64","count    255.000000
mean      12.659262
std       14.279796
min        0.214042
25%        1.410159
50%        5.363300
75%       22.519768
max       51.841111
Name: % error, dtype: float64",5
21,RandomForest,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",RandomForestRegressor(),Performance,0.3,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    255.000000
mean      13.485114
std       14.928771
min        0.272668
25%        1.515820
50%        3.933652
75%       26.282675
max       52.834321
Name: % error, dtype: float64",5
22,GradientBoostingTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",GradientBoostingRegressor(),Performance,0.3,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    255.000000
mean      18.328323
std       21.548202
min        0.044874
25%        1.264929
50%        3.779690
75%       28.468864
max       80.600835
Name: % error, dtype: float64",5
23,DecisionTree,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",DecisionTreeRegressor(),Performance,0.3,"0          PS32K
1    HAVE_CRYPTO
2          PS16K
3           PS8K
4           PS4K
Name: feature, dtype: object","count    255.000000
mean      13.356650
std       14.962052
min        0.241091
25%        1.435908
50%        4.075710
75%       25.219454
max       52.534293
Name: % error, dtype: float64",5
24,LinearRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.4,"PS32K          24.740633
HAVE_CRYPTO    18.775277
PS16K          14.314224
PS8K            7.833928
PS4K            2.900492
dtype: float64","count     218.000000
mean      479.370626
std       934.949187
min         2.489794
25%        20.776581
50%        55.932034
75%       206.417952
max      3655.681483
Name: % error, dtype: float64",5
25,Lasso,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","Lasso(alpha=0.1, max_iter=5)",Performance,0.4,"PS32K          21.882937
HAVE_CRYPTO    18.106723
PS16K          11.505290
PS8K            4.907935
dtype: float64","count     218.000000
mean      443.160282
std       777.245450
min         0.581173
25%        21.419113
50%        42.927247
75%       312.214145
max      2861.053113
Name: % error, dtype: float64",5
26,Ridge,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",Ridge(alpha=0.5),Performance,0.4,"PS32K          23.494155
HAVE_CRYPTO    18.379785
PS16K          13.213513
PS8K            6.778896
PS4K            1.976256
dtype: float64","count     218.000000
mean      461.073284
std       861.379142
min         0.902741
25%        21.963193
50%        53.512859
75%       245.104092
max      3322.403428
Name: % error, dtype: float64",5
27,ElasticNet,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')","ElasticNet(alpha=0.1, l1_ratio=1.0, max_iter=5)",Performance,0.4,"PS32K          21.882937
HAVE_CRYPTO    18.106723
PS16K          11.505290
PS8K            4.907935
dtype: float64","count     218.000000
mean      443.160282
std       777.245450
min         0.581173
25%        21.419113
50%        42.927247
75%       312.214145
max      2861.053113
Name: % error, dtype: float64",5
28,PolynomialRegression,False,RandomForest,"Index(['PS32K', 'HAVE_CRYPTO', 'PS16K', 'PS8K', 'PS4K'], dtype='object')",LinearRegression(),Performance,0.4,"PS4K           7.289360e+13
HAVE_CRYPTO    1.666681e+13
PS8K           1.594418e+13
PS16K          1.642720e+12
PS32K          3.449365e+11
dtype: float64","count    218.000000
mean      12.562699
std       15.466872
min        0.045038
25%        1.129924
50%        2.959169
75%       21.466469
max       53.046370
Name: % error, dtype: float64",5
