,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:28:00.846349,2023-06-15 22:28:12.166540
10,distBased,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:28:12.170895,2023-06-15 22:28:31.292077
20,distBased,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:28:31.343189,2023-06-15 22:28:46.341199
30,distBased,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:28:46.349927,2023-06-15 22:29:04.915391
40,distBased,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:29:04.954586,2023-06-15 22:29:20.941975
50,distBased,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:29:20.963015,2023-06-15 22:29:38.391935
60,distBased,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:29:38.400462,2023-06-15 22:29:57.245888
70,distBased,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:29:57.264379,2023-06-15 22:30:15.875351
80,distBased,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:30:15.899417,2023-06-15 22:30:32.141578
90,distBased,1.0,21,False,None,RandomForest,,,2023-06-15 22:28:00.844536,2023-06-15 22:30:32.202383
100,divDistBased,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:30:38.010420,2023-06-15 22:30:51.776532
110,divDistBased,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:30:51.809317,2023-06-15 22:31:07.580457
120,divDistBased,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:31:07.627570,2023-06-15 22:31:26.943787
130,divDistBased,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:31:26.953206,2023-06-15 22:31:40.330897
140,divDistBased,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:31:40.339763,2023-06-15 22:31:54.780010
150,divDistBased,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:31:54.813250,2023-06-15 22:32:13.106908
160,divDistBased,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:32:13.116767,2023-06-15 22:32:29.711845
170,divDistBased,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:32:29.738658,2023-06-15 22:32:48.165947
180,divDistBased,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:32:48.187494,2023-06-15 22:33:10.241151
190,divDistBased,1.0,21,False,None,RandomForest,,,2023-06-15 22:30:38.008888,2023-06-15 22:33:10.270978
200,henard,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:33:13.765862,2023-06-15 22:33:27.784779
210,henard,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:33:27.840563,2023-06-15 22:33:45.909457
220,henard,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:33:45.956682,2023-06-15 22:34:01.391405
230,henard,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:34:01.420325,2023-06-15 22:34:19.096519
240,henard,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:34:19.147893,2023-06-15 22:34:39.130503
250,henard,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:34:39.163170,2023-06-15 22:34:54.469764
260,henard,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:34:54.491271,2023-06-15 22:35:12.949849
270,henard,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:35:12.965220,2023-06-15 22:35:27.212352
280,henard,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:35:27.239690,2023-06-15 22:35:45.607913
290,henard,1.0,21,False,None,RandomForest,,,2023-06-15 22:33:13.764327,2023-06-15 22:35:45.628400
300,random,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:35:49.243296,2023-06-15 22:36:01.232444
310,random,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:36:01.242571,2023-06-15 22:36:17.174281
320,random,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:36:17.206918,2023-06-15 22:36:35.273031
330,random,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:36:35.310722,2023-06-15 22:36:47.862989
340,random,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:36:47.896430,2023-06-15 22:37:05.577798
350,random,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:37:05.588364,2023-06-15 22:37:19.989891
360,random,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:37:20.001503,2023-06-15 22:37:37.924630
370,random,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:37:37.962788,2023-06-15 22:37:56.652273
380,random,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:37:56.677315,2023-06-15 22:38:13.829376
390,random,1.0,21,False,None,RandomForest,,,2023-06-15 22:35:49.241828,2023-06-15 22:38:13.859411
400,solverBased,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:38:16.741325,2023-06-15 22:38:35.729617
410,solverBased,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:38:35.793794,2023-06-15 22:38:48.913540
420,solverBased,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:38:48.926544,2023-06-15 22:39:03.838940
430,solverBased,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:39:03.871183,2023-06-15 22:39:20.322828
440,solverBased,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:39:20.346915,2023-06-15 22:39:35.743843
450,solverBased,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:39:35.805192,2023-06-15 22:39:51.042117
460,solverBased,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:39:51.050828,2023-06-15 22:40:10.531636
470,solverBased,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:40:10.597518,2023-06-15 22:40:26.449110
480,solverBased,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:40:26.496122,2023-06-15 22:40:45.022452
490,solverBased,1.0,21,False,None,RandomForest,,,2023-06-15 22:38:16.739875,2023-06-15 22:40:45.048016
500,twise,1.0,21,False,None,RandomForest,0.1,False,2023-06-15 22:40:50.171438,2023-06-15 22:41:06.115210
510,twise,1.0,21,False,None,RandomForest,0.2,False,2023-06-15 22:41:06.123818,2023-06-15 22:41:18.503276
520,twise,1.0,21,False,None,RandomForest,0.3,False,2023-06-15 22:41:18.512080,2023-06-15 22:41:31.132906
530,twise,1.0,21,False,None,RandomForest,0.4,False,2023-06-15 22:41:31.164384,2023-06-15 22:41:52.161637
540,twise,1.0,21,False,None,RandomForest,0.5,False,2023-06-15 22:41:52.195487,2023-06-15 22:42:05.581503
550,twise,1.0,21,False,None,RandomForest,0.6,False,2023-06-15 22:42:05.600512,2023-06-15 22:42:24.502600
560,twise,1.0,21,False,None,RandomForest,0.7,False,2023-06-15 22:42:24.523718,2023-06-15 22:42:42.679038
570,twise,1.0,21,False,None,RandomForest,0.8,False,2023-06-15 22:42:42.704167,2023-06-15 22:43:00.400137
580,twise,1.0,21,False,None,RandomForest,0.9,False,2023-06-15 22:43:00.424282,2023-06-15 22:43:17.960313
590,twise,1.0,21,False,None,RandomForest,,,2023-06-15 22:40:50.169833,2023-06-15 22:43:18.005532
