,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,21,False,None,DecisionTree,0.1,False,2023-06-18 18:11:21.071475,2023-06-18 18:11:34.386986
10,distBased,1.0,21,False,None,DecisionTree,0.2,False,2023-06-18 18:11:34.391309,2023-06-18 18:11:47.782076
20,distBased,1.0,21,False,None,DecisionTree,0.3,False,2023-06-18 18:11:47.805445,2023-06-18 18:12:00.101008
30,distBased,1.0,21,False,None,DecisionTree,0.4,False,2023-06-18 18:12:00.125355,2023-06-18 18:12:13.410850
40,distBased,1.0,21,False,None,DecisionTree,0.5,False,2023-06-18 18:12:13.439034,2023-06-18 18:12:29.484299
50,distBased,1.0,21,False,None,DecisionTree,0.6,False,2023-06-18 18:12:29.493616,2023-06-18 18:12:40.092446
60,distBased,1.0,21,False,None,DecisionTree,0.7,False,2023-06-18 18:12:40.117455,2023-06-18 18:12:56.052088
70,distBased,1.0,21,False,None,DecisionTree,0.8,False,2023-06-18 18:12:56.077572,2023-06-18 18:13:07.167314
80,distBased,1.0,21,False,None,DecisionTree,0.9,False,2023-06-18 18:13:07.177033,2023-06-18 18:13:21.829002
90,distBased,1.0,21,False,None,DecisionTree,,,2023-06-18 18:11:21.070053,2023-06-18 18:13:21.866612
100,divDistBased,1.0,21,False,None,DecisionTree,0.1,False,2023-06-18 18:13:25.456611,2023-06-18 18:13:35.175238
110,divDistBased,1.0,21,False,None,DecisionTree,0.2,False,2023-06-18 18:13:35.200077,2023-06-18 18:13:49.330633
120,divDistBased,1.0,21,False,None,DecisionTree,0.3,False,2023-06-18 18:13:49.356455,2023-06-18 18:13:59.629390
130,divDistBased,1.0,21,False,None,DecisionTree,0.4,False,2023-06-18 18:13:59.648750,2023-06-18 18:14:08.565609
140,divDistBased,1.0,21,False,None,DecisionTree,0.5,False,2023-06-18 18:14:08.573442,2023-06-18 18:14:22.971849
150,divDistBased,1.0,21,False,None,DecisionTree,0.6,False,2023-06-18 18:14:23.007843,2023-06-18 18:14:36.707942
160,divDistBased,1.0,21,False,None,DecisionTree,0.7,False,2023-06-18 18:14:36.716287,2023-06-18 18:14:48.415232
170,divDistBased,1.0,21,False,None,DecisionTree,0.8,False,2023-06-18 18:14:48.440295,2023-06-18 18:15:05.879903
180,divDistBased,1.0,21,False,None,DecisionTree,0.9,False,2023-06-18 18:15:05.936365,2023-06-18 18:15:21.195236
190,divDistBased,1.0,21,False,None,DecisionTree,,,2023-06-18 18:13:25.455167,2023-06-18 18:15:21.200599
200,henard,1.0,21,False,None,DecisionTree,0.1,False,2023-06-18 18:15:23.784608,2023-06-18 18:15:30.757209
210,henard,1.0,21,False,None,DecisionTree,0.2,False,2023-06-18 18:15:30.762613,2023-06-18 18:15:43.290988
220,henard,1.0,21,False,None,DecisionTree,0.3,False,2023-06-18 18:15:43.298907,2023-06-18 18:15:52.048197
230,henard,1.0,21,False,None,DecisionTree,0.4,False,2023-06-18 18:15:52.073126,2023-06-18 18:16:04.661287
240,henard,1.0,21,False,None,DecisionTree,0.5,False,2023-06-18 18:16:04.702494,2023-06-18 18:16:19.867261
250,henard,1.0,21,False,None,DecisionTree,0.6,False,2023-06-18 18:16:19.894295,2023-06-18 18:16:30.951657
260,henard,1.0,21,False,None,DecisionTree,0.7,False,2023-06-18 18:16:30.968998,2023-06-18 18:16:48.145632
270,henard,1.0,21,False,None,DecisionTree,0.8,False,2023-06-18 18:16:48.151158,2023-06-18 18:17:06.987236
280,henard,1.0,21,False,None,DecisionTree,0.9,False,2023-06-18 18:17:06.992638,2023-06-18 18:17:16.208125
290,henard,1.0,21,False,None,DecisionTree,,,2023-06-18 18:15:23.783527,2023-06-18 18:17:16.252046
300,random,1.0,21,False,None,DecisionTree,0.1,False,2023-06-18 18:17:21.379481,2023-06-18 18:17:32.559252
310,random,1.0,21,False,None,DecisionTree,0.2,False,2023-06-18 18:17:32.587522,2023-06-18 18:17:47.781340
320,random,1.0,21,False,None,DecisionTree,0.3,False,2023-06-18 18:17:47.797987,2023-06-18 18:17:59.787114
330,random,1.0,21,False,None,DecisionTree,0.4,False,2023-06-18 18:17:59.795966,2023-06-18 18:18:11.116895
340,random,1.0,21,False,None,DecisionTree,0.5,False,2023-06-18 18:18:11.139226,2023-06-18 18:18:22.313576
350,random,1.0,21,False,None,DecisionTree,0.6,False,2023-06-18 18:18:22.348287,2023-06-18 18:18:34.503325
