,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,BerkeleyDBC,LinearRegression,None,twise,459.70,402.28,317.66
1,BerkeleyDBC,LinearRegression,RandomForest,twise,447.22,408.25,311.68
2,BerkeleyDBC,Lasso,None,twise,441.32,367.07,283.20
3,BerkeleyDBC,Lasso,RandomForest,twise,425.21,400.31,314.87
4,BerkeleyDBC,Ridge,None,twise,424.54,386.15,296.52
5,BerkeleyDBC,Ridge,RandomForest,twise,428.64,402.83,312.23
6,BerkeleyDBC,ElasticNet,None,twise,424.45,367.07,283.20
7,BerkeleyDBC,ElasticNet,RandomForest,twise,425.21,400.31,314.87
8,BerkeleyDBC,RandomForest,None,twise,1.47,0.43,0.51
9,BerkeleyDBC,RandomForest,RandomForest,twise,14.26,14.54,13.00
10,BerkeleyDBC,PolynomialRegression,None,twise,nan,nan,nan
11,BerkeleyDBC,PolynomialRegression,RandomForest,twise,14.83,14.95,14.11
