,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,BerkeleyDBC,LinearRegression,None,twise,483.95,459.70,489.77,317.66
1,BerkeleyDBC,LinearRegression,RandomForest,twise,488.47,447.22,478.94,311.68
2,BerkeleyDBC,Lasso,None,twise,411.65,441.32,445.47,283.20
3,BerkeleyDBC,Lasso,RandomForest,twise,456.21,425.21,472.23,314.87
4,BerkeleyDBC,Ridge,None,twise,426.12,424.54,461.66,296.52
5,BerkeleyDBC,Ridge,RandomForest,twise,445.88,428.64,470.90,312.23
6,BerkeleyDBC,ElasticNet,None,twise,411.65,424.45,445.47,283.20
7,BerkeleyDBC,ElasticNet,RandomForest,twise,426.71,425.21,472.23,314.87
8,BerkeleyDBC,RandomForest,None,twise,7.66,1.68,0.91,0.47
9,BerkeleyDBC,RandomForest,RandomForest,twise,13.43,14.27,14.02,13.09
10,BerkeleyDBC,GradientBoostingTree,None,twise,4.59,1.76,2.89,1.74
11,BerkeleyDBC,GradientBoostingTree,RandomForest,twise,18.33,18.18,16.23,15.81
12,BerkeleyDBC,DecisionTree,None,twise,5.98,1.01,0.45,0.58
13,BerkeleyDBC,DecisionTree,RandomForest,twise,13.36,14.25,13.94,13.03
14,BerkeleyDBC,PolynomialRegression,None,twise,nan,nan,nan,nan
15,BerkeleyDBC,PolynomialRegression,RandomForest,twise,12.66,14.83,13.82,14.11
