,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.1,"post_0      14480.843462
post_1       4604.268051
pre_1        3518.739901
pre_0        3455.745416
cells_55     2719.430771
CGSolver     2714.503107
cells_50     2504.498843
cells_51      648.941653
dtype: float64","count    964.000000
mean      26.621667
std       24.701711
min        0.017375
25%        8.377768
50%       24.013537
75%       32.868824
max      179.807217
Name: % error, dtype: float64",8
1,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"post_0      14540.047923
post_1       4398.053686
pre_0        3013.392352
pre_1        2993.311776
cells_50     2815.636766
cells_55     2623.737841
CGSolver     2481.212118
cells_51      608.261493
dtype: float64","count    964.000000
mean      25.619107
std       25.282645
min        0.011080
25%        6.852036
50%       21.525971
75%       31.139074
max      184.873545
Name: % error, dtype: float64",8
2,Ridge,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",Ridge(alpha=4),Performance,0.1,"post_0      8631.264905
post_1      3074.894046
CGSolver    3047.139005
pre_1       2800.814535
cells_55    2220.640989
pre_0       2215.920762
cells_50    1832.188554
cells_51     967.664713
dtype: float64","count    964.000000
mean      19.267524
std       15.683349
min        0.030636
25%        7.419964
50%       16.710775
75%       26.836100
max      111.837181
Name: % error, dtype: float64",8
3,ElasticNet,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=0.0, max_iter=5)",Performance,0.1,"post_0      7622.538963
CGSolver    3009.815814
post_1      2781.883434
pre_1       2630.548452
cells_55    2095.053163
pre_0       1971.761260
cells_50    1670.721628
cells_51     984.106116
dtype: float64","count    964.000000
mean      18.234614
std       14.654773
min        0.008158
25%        7.862279
50%       16.175934
75%       24.719874
max      101.575974
Name: % error, dtype: float64",8
4,PolynomialRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.1,"CGSolver    2.586072e+17
pre_1       1.926534e+17
cells_50    1.503045e+17
cells_51    8.295576e+15
post_1      6.358791e+15
pre_0       3.041867e+15
cells_55    5.098646e+14
post_0      1.359130e+13
dtype: float64","count    9.640000e+02
mean     4.264958e+11
std      2.769845e+12
min      2.291959e-02
25%      7.274640e+00
50%      1.281578e+01
75%      2.034427e+01
max      2.773316e+13
Name: % error, dtype: float64",8
5,RandomForest,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"1    CGSolver
0      post_0
2       pre_1
3       pre_0
4      post_1
5    cells_50
6    cells_55
7    cells_51
Name: feature, dtype: object","count    964.000000
mean      16.054318
std       19.640645
min        0.007987
25%        6.017791
50%       12.447772
75%       19.528772
max      215.558931
Name: % error, dtype: float64",8
6,GradientBoostingTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0      post_0
1    CGSolver
2       pre_1
3       pre_0
4      post_1
5    cells_50
6    cells_55
7    cells_51
Name: feature, dtype: object","count    964.000000
mean      15.412602
std       21.046517
min        0.002192
25%        5.831597
50%       11.897860
75%       18.320534
max      234.973736
Name: % error, dtype: float64",8
7,DecisionTree,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"1    CGSolver
0      post_0
2       pre_1
3       pre_0
4      post_1
5    cells_50
7    cells_51
6    cells_55
Name: feature, dtype: object","count    964.000000
mean      17.072469
std       24.382288
min        0.003536
25%        6.065558
50%       12.264418
75%       19.970567
max      263.692740
Name: % error, dtype: float64",8
8,LinearRegression,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')",LinearRegression(),Performance,0.2,"post_0      8309.368876
post_1      3715.585336
pre_0       2934.500678
pre_1       2666.508005
CGSolver    2257.848698
cells_50    2253.513406
cells_55    1790.236893
cells_51    1461.836883
dtype: float64","count    857.000000
mean      18.219077
std       14.145317
min        0.024504
25%        6.703453
50%       16.265854
75%       26.346333
max      106.516218
Name: % error, dtype: float64",8
9,Lasso,False,RandomForest,"Index(['post_0', 'CGSolver', 'pre_1', 'pre_0', 'post_1', 'cells_50',
       'cells_55', 'cells_51'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"post_0      7953.996642
post_1      3438.923263
pre_0       2620.690518
pre_1       2463.836359
CGSolver    2137.643589
cells_50    1971.682581
cells_55    1714.517077
cells_51    1276.176560
dtype: float64","count    857.000000
mean      17.234692
std       13.781873
min        0.031592
25%        6.152920
50%       15.134629
75%       24.980381
max      103.619971
Name: % error, dtype: float64",8
