,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"SeqGS             3.088066e+17
SeqSOR            3.088066e+17
Precon            2.271746e+17
PreSmoothing      1.417859e+17
PostSmoothing     1.252859e+17
GradientSolver    1.202729e+17
LoopSolver        1.202729e+17
BiCGSTABSolver    1.202729e+17
CGSolver          1.202729e+17
cells_50          1.013135e+17
cells_51          1.013135e+17
cells_52          1.013135e+17
cells_53          1.013135e+17
cells_54          1.013135e+17
cells_55          1.013135e+17
post_6            5.306131e+16
post_5            5.306131e+16
post_4            5.306131e+16
post_3            5.306131e+16
post_2            5.306131e+16
post_1            5.306131e+16
post_0            5.306131e+16
pre_5             2.513592e+16
pre_6             2.513592e+16
pre_3             2.513592e+16
pre_4             2.513592e+16
pre_2             2.513592e+16
pre_0             2.513592e+16
pre_1             2.513592e+16
Solver            6.459293e+15
root              7.188097e+12
dtype: float64","count    964.000000
mean      22.384286
std       17.797662
min        0.021887
25%        9.355576
50%       18.677114
75%       30.882512
max      102.154662
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"pre_1             8.639988e+03
post_0            5.304789e+03
CGSolver          5.257173e+03
cells_51          2.784983e+03
post_1            2.533189e+03
cells_52          1.530055e+03
post_2            1.357520e+03
cells_50          1.340012e+03
post_4            1.254221e+03
cells_54          1.163667e+03
pre_6             9.069721e+02
GradientSolver    7.795909e+02
cells_53          6.774603e+02
BiCGSTABSolver    6.107697e+02
post_6            5.801241e+02
post_5            3.799295e+02
cells_55          3.069070e+02
SeqGS             2.843663e+02
pre_2             2.264571e+02
pre_0             1.682320e+02
pre_5             1.367021e+02
SeqSOR            3.086513e-13
dtype: float64","count    964.000000
mean      23.822746
std       20.131952
min        0.112070
25%       10.217204
50%       19.646860
75%       31.382753
max      133.915661
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"post_0            3874.625270
pre_1             3438.691913
CGSolver          2401.382586
post_6            1488.096356
cells_51          1388.236193
cells_54          1376.997902
post_1            1220.823864
cells_55          1191.748617
GradientSolver    1164.688506
post_4            1130.917927
cells_50          1127.136663
LoopSolver        1039.345084
post_5             974.801214
post_3             956.534530
pre_6              900.944747
pre_5              878.561962
pre_3              736.416801
post_2             545.099108
pre_2              529.722866
pre_4              508.728061
SeqSOR             500.569487
SeqGS              500.569487
BiCGSTABSolver     197.348996
pre_0              115.682523
cells_53           106.738543
cells_52            53.364879
dtype: float64","count    964.000000
mean      15.804887
std       13.264034
min        0.006095
25%        5.892511
50%       12.534109
75%       21.996449
max       81.166047
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","ElasticNet(alpha=0.2, l1_ratio=0.1, max_iter=5)",Performance,0.1,"post_0            2820.216079
pre_1             2399.688686
CGSolver          2032.231752
cells_54          1026.351636
cells_51          1016.810180
post_6             999.425500
post_4             921.137130
post_1             890.877462
cells_55           878.497058
GradientSolver     878.025357
LoopSolver         877.347212
cells_50           789.592456
post_3             743.296235
pre_6              668.890759
post_5             646.385168
pre_5              520.164770
pre_3              470.393083
pre_2              400.959954
post_2             398.337308
SeqGS              366.044112
pre_4              363.172397
SeqSOR             362.384852
BiCGSTABSolver     271.930626
cells_53           180.394021
cells_52            77.750710
pre_0               25.951011
dtype: float64","count    964.000000
mean      14.651719
std       13.676968
min        0.001436
25%        3.972966
50%        9.701050
75%       23.180055
max       98.922779
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"10             pre_0
5           CGSolver
18            post_0
11             pre_1
19            post_1
7         LoopSolver
31          cells_55
26          cells_50
27          cells_51
3              SeqGS
4             SeqSOR
6     BiCGSTABSolver
30          cells_54
28          cells_52
8     GradientSolver
12             pre_2
24            post_6
29          cells_53
20            post_2
16             pre_6
13             pre_3
14             pre_4
22            post_4
15             pre_5
21            post_3
23            post_5
0               root
25             Cells
17     PostSmoothing
1             Precon
9       PreSmoothing
2             Solver
32              #yes
Name: feature, dtype: object","count    964.000000
mean       9.788864
std       13.021252
min        0.000161
25%        1.862873
50%        5.659367
75%       11.860330
max      101.665617
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"CGSolver          6.424027e+17
BiCGSTABSolver    6.424027e+17
GradientSolver    6.424027e+17
LoopSolver        6.424027e+17
PreSmoothing      4.754357e+17
Precon            2.652956e+17
Solver            9.662048e+16
post_0            6.740145e+16
post_1            6.740145e+16
post_3            6.740145e+16
post_2            6.740145e+16
post_4            6.740145e+16
post_5            6.740145e+16
post_6            6.740145e+16
PostSmoothing     4.726925e+16
SeqSOR            3.509268e+16
SeqGS             3.509268e+16
pre_4             3.008887e+16
pre_6             3.008887e+16
pre_3             3.008887e+16
pre_5             3.008887e+16
pre_2             3.008887e+16
pre_0             3.008887e+16
pre_1             3.008887e+16
cells_50          1.513710e+15
cells_51          1.513710e+15
cells_52          1.513710e+15
cells_53          1.513710e+15
cells_54          1.513710e+15
cells_55          1.513710e+15
root              3.891421e+13
dtype: float64","count    857.000000
mean      20.275234
std       15.739763
min        0.045242
25%        8.790128
50%       17.097580
75%       27.686737
max       92.722319
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"post_0            6.074700e+03
pre_1             5.765870e+03
post_1            3.132464e+03
cells_50          2.663647e+03
CGSolver          2.426324e+03
pre_0             2.199180e+03
cells_51          1.698735e+03
SeqGS             1.637272e+03
cells_52          1.272777e+03
post_6            1.122584e+03
cells_55          1.119546e+03
post_5            5.780347e+02
cells_54          5.390789e+02
LoopSolver        4.130625e+02
pre_2             4.047596e+02
post_4            3.041008e+02
BiCGSTABSolver    2.747902e+02
pre_4             2.380698e+02
post_3            2.210857e+02
pre_6             1.703594e+02
cells_53          1.064108e+02
SeqSOR            2.226909e-13
dtype: float64","count    857.000000
mean      16.627685
std       13.543911
min        0.004659
25%        7.381557
50%       13.966813
75%       21.739772
max       83.551406
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"post_0            3697.317425
pre_1             3008.789572
CGSolver          1813.198261
post_1            1658.456131
post_6            1628.983187
cells_55          1385.975345
post_5            1281.751641
cells_50          1233.765420
post_4            1202.796676
pre_6             1056.426339
cells_54           932.597656
LoopSolver         864.491902
pre_3              850.701139
pre_0              847.881897
cells_51           846.850245
pre_4              834.552166
GradientSolver     717.550284
pre_5              706.706971
SeqGS              691.297460
SeqSOR             691.297460
post_2             623.761936
post_3             618.480117
pre_2              408.284854
cells_52           331.981761
BiCGSTABSolver     231.156075
cells_53            94.024425
dtype: float64","count    857.000000
mean      14.976374
std       12.214536
min        0.015255
25%        6.756563
50%       11.516838
75%       19.363878
max       97.947610
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')","ElasticNet(alpha=0.1, l1_ratio=0.0, max_iter=5)",Performance,0.2,"post_0            2783.221803
pre_1             2070.492450
CGSolver          1624.871780
post_1            1315.077136
post_6            1170.361663
cells_55          1018.954098
post_4             973.433611
post_5             913.144444
cells_50           801.172146
pre_6              796.848532
LoopSolver         732.434437
cells_51           681.944936
cells_54           658.713485
GradientSolver     621.846011
pre_3              613.760224
SeqGS              602.322700
pre_0              589.752170
post_3             561.261141
SeqSOR             560.778078
pre_4              485.609732
post_2             448.038727
pre_5              396.376519
pre_2              343.543558
BiCGSTABSolver     237.336064
cells_52           157.760486
cells_53            72.567020
dtype: float64","count    857.000000
mean      14.289625
std       12.943651
min        0.001582
25%        4.731111
50%       10.373463
75%       19.617227
max      109.995989
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['root', 'Precon', 'Solver', 'SeqGS', 'SeqSOR', 'CGSolver',
       'BiCGSTABSolver', 'LoopSolver', 'GradientSolver', 'PreSmoothing',
       'pre_0', 'pre_1', 'pre_2', 'pre_3', 'pre_4', 'pre_5', 'pre_6',
       'PostSmoothing', 'post_0', 'post_1', 'post_2', 'post_3', 'post_4',
       'post_5', 'post_6', 'Cells', 'cells_50', 'cells_51', 'cells_52',
       'cells_53', 'cells_54', 'cells_55', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"10             pre_0
5           CGSolver
18            post_0
11             pre_1
19            post_1
7         LoopSolver
31          cells_55
26          cells_50
27          cells_51
3              SeqGS
4             SeqSOR
6     BiCGSTABSolver
30          cells_54
28          cells_52
8     GradientSolver
12             pre_2
24            post_6
29          cells_53
20            post_2
16             pre_6
13             pre_3
14             pre_4
22            post_4
15             pre_5
21            post_3
23            post_5
0               root
25             Cells
17     PostSmoothing
1             Precon
9       PreSmoothing
2             Solver
32              #yes
Name: feature, dtype: object","count    857.000000
mean       7.894301
std       10.395105
min        0.009603
25%        0.809938
50%        3.506839
75%       11.103692
max       71.780890
Name: % error, dtype: float64"
