,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,Dune,LinearRegression,None,twise,17.97,17.04,14.99,14.69
1,Dune,LinearRegression,RandomForest,twise,19.35,18.56,16.64,17.02
2,Dune,Lasso,None,twise,17.32,16.72,14.48,14.34
3,Dune,Lasso,RandomForest,twise,18.60,18.29,16.09,16.74
4,Dune,Ridge,None,twise,15.83,15.91,14.15,13.82
5,Dune,Ridge,RandomForest,twise,17.07,17.93,15.82,16.67
6,Dune,ElasticNet,None,twise,15.37,15.90,13.78,13.50
7,Dune,ElasticNet,RandomForest,twise,17.34,17.75,15.59,16.34
8,Dune,RandomForest,None,twise,6.73,5.32,4.94,4.61
9,Dune,RandomForest,RandomForest,twise,10.44,9.27,9.30,9.65
10,Dune,GradientBoostingTree,None,twise,7.79,6.95,6.68,6.73
11,Dune,GradientBoostingTree,RandomForest,twise,9.52,9.03,9.31,9.51
12,Dune,DecisionTree,None,twise,7.24,5.53,5.32,5.25
13,Dune,DecisionTree,RandomForest,twise,9.71,9.23,9.40,9.58
14,Dune,PolynomialRegression,None,twise,nan,nan,nan,nan
15,Dune,PolynomialRegression,RandomForest,twise,13.41,12.21,11.54,11.11
