,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"TextureMemory       6.149808e+14
OpenCL              5.433602e+14
CUDA                5.433602e+14
Blocksize           2.612744e+14
LocalMemory         2.207049e+14
#yes                2.207049e+14
pixelPerThread_2    2.028782e+14
pixelPerThread_4    2.028782e+14
pixelPerThread_3    2.028782e+14
pixelPerThread_1    2.028782e+14
bs_32x4             2.007329e+14
bs_128x2            2.007329e+14
bs_32x8             2.007329e+14
bs_64x2             2.007329e+14
bs_32x2             2.007329e+14
bs_64x8             2.007329e+14
bs_128x1            2.007329e+14
bs_64x4             2.007329e+14
bs_256x2            2.007329e+14
bs_128x4            2.007329e+14
bs_64x1             2.007329e+14
bs_256x1            2.007329e+14
bs_32x16            2.007329e+14
bs_256x4            2.007329e+14
bs_64x16            2.007329e+14
bs_128x8            2.007329e+14
bs_32x32            2.007329e+14
bs_512x2            2.007329e+14
bs_512x1            2.007329e+14
bs_32x1             2.007329e+14
bs_1024x1           2.007329e+14
API                 1.898715e+14
Linear1D            1.735710e+14
Linear2D            1.735710e+14
Ldg                 1.735710e+14
Array2D             1.735710e+14
padding_32          1.264317e+14
padding_416         1.264317e+14
padding_160         1.264317e+14
padding_320         1.264317e+14
padding_128         1.264317e+14
padding_288         1.264317e+14
padding_512         1.264317e+14
padding_96          1.264317e+14
padding_192         1.264317e+14
padding_0           1.264317e+14
padding_448         1.264317e+14
padding_224         1.264317e+14
padding_64          1.264317e+14
padding_256         1.264317e+14
padding_480         1.264317e+14
padding_352         1.264317e+14
padding_384         1.264317e+14
padding             3.410007e+13
root                1.798382e+09
dtype: float64","count    4141.000000
mean       20.001268
std        17.024416
min         0.000000
25%         7.592991
50%        16.230366
75%        27.434351
max       167.874729
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=10)",Performance,0.1,"bs_1024x1           29.282128
LocalMemory         21.087605
bs_32x1             14.388161
bs_512x1            13.256181
Array2D             10.397860
bs_512x2            10.231730
bs_32x4              9.976588
bs_128x2             8.716363
bs_32x8              8.467797
pixelPerThread_1     7.384148
bs_32x32             6.954386
bs_64x2              6.946613
bs_128x8             6.604130
bs_64x16             6.229613
Linear1D             4.365057
bs_32x2              4.082181
bs_256x4             3.411476
bs_64x8              3.047365
bs_64x4              2.785346
bs_128x1             2.660004
Linear2D             2.595315
TextureMemory        2.594342
padding_352          1.471607
padding_480          1.421765
bs_32x16             1.327847
bs_256x2             1.217184
padding_320          1.106573
padding_224          1.018318
OpenCL               0.691174
padding_64           0.543207
pixelPerThread_2     0.541599
padding_288          0.485890
padding_256          0.474828
padding_384          0.466173
padding_512          0.444478
pixelPerThread_3     0.353699
padding_160          0.341846
padding_128          0.202264
#yes                 0.110494
padding_0            0.088968
pixelPerThread_4     0.024159
dtype: float64","count    4141.000000
mean       18.345746
std        14.556342
min         0.010616
25%         7.858607
50%        15.906930
75%        24.660525
max       121.668821
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",Ridge(),Performance,0.1,"bs_1024x1           27.028784
LocalMemory         17.631788
bs_32x4             14.164775
bs_32x1             12.893203
bs_512x1            11.708639
bs_128x2            11.675338
bs_32x8             10.952746
bs_64x2              9.458712
bs_512x2             9.312369
Array2D              8.075244
Linear1D             7.086828
TextureMemory        6.911741
bs_32x2              6.703484
bs_32x32             6.211394
bs_64x8              5.786472
bs_128x1             5.707471
pixelPerThread_1     5.687482
bs_64x4              5.649841
Linear2D             5.502836
bs_128x8             5.464578
bs_64x16             5.086008
bs_256x2             4.097285
#yes                 3.808307
padding_384          3.696407
bs_128x4             2.777956
bs_256x4             2.701018
pixelPerThread_2     2.506586
padding_32           2.497789
bs_64x1              2.456192
padding_480          2.433616
Ldg                  2.397321
padding_352          2.381739
pixelPerThread_4     1.947351
padding_320          1.932386
padding_256          1.742374
padding_416          1.688713
padding_160          1.555615
padding_512          1.450418
padding_64           1.328893
padding_288          1.321570
padding_128          1.257122
pixelPerThread_3     1.233545
padding_224          1.178428
bs_256x1             1.124996
CUDA                 0.549400
OpenCL               0.549400
padding_192          0.536380
padding_96           0.389290
bs_32x16             0.149274
padding_0            0.104107
padding_448          0.028068
dtype: float64","count    4141.000000
mean       18.974936
std        15.345182
min         0.021865
25%         7.812599
50%        15.752191
75%        26.131796
max       135.865239
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=1.0, max_iter=10)",Performance,0.1,"bs_1024x1           29.282128
LocalMemory         21.087605
bs_32x1             14.388161
bs_512x1            13.256181
Array2D             10.397860
bs_512x2            10.231730
bs_32x4              9.976588
bs_128x2             8.716363
bs_32x8              8.467797
pixelPerThread_1     7.384148
bs_32x32             6.954386
bs_64x2              6.946613
bs_128x8             6.604130
bs_64x16             6.229613
Linear1D             4.365057
bs_32x2              4.082181
bs_256x4             3.411476
bs_64x8              3.047365
bs_64x4              2.785346
bs_128x1             2.660004
Linear2D             2.595315
TextureMemory        2.594342
padding_352          1.471607
padding_480          1.421765
bs_32x16             1.327847
bs_256x2             1.217184
padding_320          1.106573
padding_224          1.018318
OpenCL               0.691174
padding_64           0.543207
pixelPerThread_2     0.541599
padding_288          0.485890
padding_256          0.474828
padding_384          0.466173
padding_512          0.444478
pixelPerThread_3     0.353699
padding_160          0.341846
padding_128          0.202264
#yes                 0.110494
padding_0            0.088968
pixelPerThread_4     0.024159
dtype: float64","count    4141.000000
mean       18.345746
std        14.556342
min         0.010616
25%         7.858607
50%        15.906930
75%        24.660525
max       121.668821
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"8          LocalMemory
10             bs_32x1
24           bs_1024x1
51    pixelPerThread_1
22            bs_512x1
5             Linear1D
52    pixelPerThread_2
21            bs_256x4
20            bs_128x8
23            bs_512x2
13            bs_32x32
2               OpenCL
16            bs_64x16
3                 CUDA
26             bs_32x2
11             bs_32x8
55                #yes
7              Array2D
18            bs_128x2
4        TextureMemory
14             bs_64x1
17            bs_128x1
30            bs_256x1
28             bs_64x2
15             bs_64x4
27             bs_32x4
6             Linear2D
54    pixelPerThread_4
53    pixelPerThread_3
25                 Ldg
44         padding_352
12            bs_32x16
29             bs_64x8
31            bs_256x2
19            bs_128x4
33           padding_0
46         padding_416
39         padding_192
40         padding_224
36          padding_96
48         padding_480
47         padding_448
42         padding_288
37         padding_128
43         padding_320
49         padding_512
38         padding_160
41         padding_256
35          padding_64
34          padding_32
45         padding_384
50      pixelPerThread
9            Blocksize
32             padding
1                  API
0                 root
Name: feature, dtype: object","count    4141.000000
mean        7.764564
std         8.397758
min         0.000403
25%         1.885301
50%         4.870800
75%        10.893848
max        77.368317
Name: % error, dtype: float64"
5,GradientBoostingTree,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"8          LocalMemory
10             bs_32x1
24           bs_1024x1
51    pixelPerThread_1
22            bs_512x1
11             bs_32x8
5             Linear1D
2               OpenCL
18            bs_128x2
28             bs_64x2
26             bs_32x2
13            bs_32x32
55                #yes
23            bs_512x2
4        TextureMemory
7              Array2D
27             bs_32x4
21            bs_256x4
15             bs_64x4
20            bs_128x8
3                 CUDA
17            bs_128x1
52    pixelPerThread_2
44         padding_352
16            bs_64x16
6             Linear2D
54    pixelPerThread_4
53    pixelPerThread_3
30            bs_256x1
36          padding_96
43         padding_320
46         padding_416
45         padding_384
12            bs_32x16
47         padding_448
48         padding_480
49         padding_512
50      pixelPerThread
41         padding_256
42         padding_288
34          padding_32
40         padding_224
39         padding_192
38         padding_160
37         padding_128
35          padding_64
14             bs_64x1
33           padding_0
32             padding
31            bs_256x2
29             bs_64x8
1                  API
25                 Ldg
19            bs_128x4
9            Blocksize
0                 root
Name: feature, dtype: object","count    4141.000000
mean       12.109000
std        11.634087
min         0.015404
25%         4.212428
50%         9.056865
75%        16.751244
max       100.726858
Name: % error, dtype: float64"
6,DecisionTree,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"8          LocalMemory
10             bs_32x1
24           bs_1024x1
22            bs_512x1
51    pixelPerThread_1
21            bs_256x4
5             Linear1D
20            bs_128x8
2               OpenCL
23            bs_512x2
52    pixelPerThread_2
13            bs_32x32
16            bs_64x16
55                #yes
26             bs_32x2
14             bs_64x1
11             bs_32x8
6             Linear2D
3                 CUDA
17            bs_128x1
18            bs_128x2
25                 Ldg
28             bs_64x2
27             bs_32x4
30            bs_256x1
15             bs_64x4
54    pixelPerThread_4
4        TextureMemory
7              Array2D
53    pixelPerThread_3
44         padding_352
33           padding_0
12            bs_32x16
31            bs_256x2
19            bs_128x4
46         padding_416
29             bs_64x8
39         padding_192
40         padding_224
36          padding_96
48         padding_480
47         padding_448
42         padding_288
37         padding_128
38         padding_160
49         padding_512
41         padding_256
45         padding_384
43         padding_320
35          padding_64
34          padding_32
50      pixelPerThread
32             padding
1                  API
9            Blocksize
0                 root
Name: feature, dtype: object","count    4141.000000
mean        7.672452
std        11.596639
min         0.000000
25%         0.916486
50%         3.416445
75%        10.101371
max       184.508771
Name: % error, dtype: float64"
7,LinearRegression,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"TextureMemory       2.306773e+14
Linear1D            1.849198e+14
Linear2D            1.849198e+14
Ldg                 1.849198e+14
Array2D             1.849198e+14
API                 1.126291e+14
OpenCL              8.305718e+13
CUDA                8.305718e+13
pixelPerThread_1    3.666371e+13
pixelPerThread_3    3.666371e+13
pixelPerThread_4    3.666371e+13
pixelPerThread_2    3.666371e+13
LocalMemory         2.287875e+13
#yes                2.287875e+13
Blocksize           9.992089e+12
padding_64          6.863209e+12
padding_352         6.863209e+12
padding_480         6.863209e+12
padding_224         6.863209e+12
padding_96          6.863209e+12
padding_448         6.863209e+12
padding_288         6.863209e+12
padding_256         6.863209e+12
padding_0           6.863209e+12
padding_512         6.863209e+12
padding_192         6.863209e+12
padding_416         6.863209e+12
padding_128         6.863209e+12
padding_320         6.863209e+12
padding_160         6.863209e+12
padding_384         6.863209e+12
padding_32          6.863209e+12
padding             3.038705e+12
bs_32x4             2.632333e+12
bs_32x8             2.632333e+12
bs_128x2            2.632333e+12
bs_64x4             2.632333e+12
bs_64x2             2.632333e+12
bs_32x2             2.632333e+12
bs_128x1            2.632333e+12
bs_64x8             2.632333e+12
bs_256x2            2.632333e+12
bs_128x4            2.632333e+12
bs_64x1             2.632333e+12
bs_256x1            2.632333e+12
bs_32x16            2.632333e+12
bs_64x16            2.632333e+12
bs_256x4            2.632333e+12
bs_128x8            2.632333e+12
bs_32x32            2.632333e+12
bs_512x1            2.632333e+12
bs_512x2            2.632333e+12
bs_32x1             2.632333e+12
bs_1024x1           2.632333e+12
root                7.740156e+06
dtype: float64","count    3681.000000
mean       17.201621
std        13.440670
min         0.000301
25%         7.049324
50%        14.553915
75%        23.910692
max        93.812428
Name: % error, dtype: float64"
8,Lasso,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')","Lasso(alpha=0.02, max_iter=100)",Performance,0.2,"bs_1024x1           2.229640e+01
LocalMemory         2.099982e+01
bs_32x1             1.370839e+01
bs_512x2            1.286614e+01
bs_32x4             1.234837e+01
bs_512x1            1.106213e+01
Array2D             8.657155e+00
bs_32x8             8.390741e+00
bs_32x32            8.250659e+00
bs_128x2            8.060972e+00
pixelPerThread_1    6.038792e+00
bs_64x4             5.467921e+00
bs_64x2             5.427499e+00
bs_128x8            5.152705e+00
padding_64          4.857743e+00
bs_256x4            4.706324e+00
Linear1D            4.260903e+00
bs_32x2             4.173835e+00
bs_128x1            3.783328e+00
bs_64x16            3.643666e+00
TextureMemory       2.347411e+00
padding_352         2.143330e+00
bs_64x8             1.618047e+00
padding_480         1.418580e+00
padding_32          1.393085e+00
padding_160         1.234920e+00
padding_224         1.199765e+00
pixelPerThread_2    1.187916e+00
bs_256x2            1.173956e+00
padding_320         1.166363e+00
padding_96          9.558664e-01
Linear2D            9.191844e-01
OpenCL              6.277028e-01
padding_128         5.862238e-01
pixelPerThread_3    5.691217e-01
padding_448         4.744390e-01
padding_512         3.065563e-01
padding_416         2.760461e-01
padding_256         2.712870e-01
bs_32x16            2.664898e-01
padding_384         2.340523e-01
bs_128x4            6.985102e-02
padding_192         6.764269e-02
pixelPerThread_4    1.470272e-03
#yes                2.870007e-04
CUDA                8.360663e-17
dtype: float64","count    3681.000000
mean       16.843677
std        12.982950
min         0.006825
25%         7.206266
50%        14.237129
75%        23.484074
max        93.777373
Name: % error, dtype: float64"
9,Ridge,False,None,"Index(['root', 'API', 'OpenCL', 'CUDA', 'TextureMemory', 'Linear1D',
       'Linear2D', 'Array2D', 'LocalMemory', 'Blocksize', 'bs_32x1', 'bs_32x8',
       'bs_32x16', 'bs_32x32', 'bs_64x1', 'bs_64x4', 'bs_64x16', 'bs_128x1',
       'bs_128x2', 'bs_128x4', 'bs_128x8', 'bs_256x4', 'bs_512x1', 'bs_512x2',
       'bs_1024x1', 'Ldg', 'bs_32x2', 'bs_32x4', 'bs_64x2', 'bs_64x8',
       'bs_256x1', 'bs_256x2', 'padding', 'padding_0', 'padding_32',
       'padding_64', 'padding_96', 'padding_128', 'padding_160', 'padding_192',
       'padding_224', 'padding_256', 'padding_288', 'padding_320',
       'padding_352', 'padding_384', 'padding_416', 'padding_448',
       'padding_480', 'padding_512', 'pixelPerThread', 'pixelPerThread_1',
       'pixelPerThread_2', 'pixelPerThread_3', 'pixelPerThread_4', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.2,"bs_1024x1           18.288120
LocalMemory         17.082133
bs_32x1             11.747523
bs_32x4             11.578289
bs_512x2            10.447671
bs_32x8              9.433640
bs_512x1             9.247057
bs_128x2             9.068364
bs_64x4              6.987839
bs_64x2              6.909908
TextureMemory        6.772098
Linear1D             6.548733
bs_32x32             6.502335
Array2D              5.860307
bs_32x2              5.577689
bs_128x1             5.153007
pixelPerThread_1     4.805681
padding_64           4.522073
bs_128x8             3.775371
Linear2D             3.675367
#yes                 3.537938
bs_256x4             3.396534
bs_64x8              3.153512
bs_256x2             2.833736
pixelPerThread_2     2.595004
Ldg                  2.408305
bs_64x16             2.346618
padding_32           2.328092
padding_352          2.055154
bs_128x4             1.803907
padding_160          1.740385
padding_384          1.645254
padding_320          1.568505
pixelPerThread_4     1.497972
bs_64x1              1.486806
padding_480          1.364858
padding_224          1.027384
padding_128          1.021676
bs_256x1             0.956314
padding_416          0.952652
padding_96           0.924223
bs_32x16             0.808216
padding_512          0.764091
padding_192          0.763293
padding_256          0.763133
pixelPerThread_3     0.712705
padding_448          0.515852
CUDA                 0.362431
OpenCL               0.362431
padding_0            0.260364
padding_288          0.128365
dtype: float64","count    3681.000000
mean       16.749747
std        12.568325
min         0.002019
25%         7.090014
50%        14.338884
75%        23.402036
max        82.634288
Name: % error, dtype: float64"
