,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,16,True,RandomForest,DecisionTree,0.1,False,2023-06-22 00:02:54.999240,2023-06-22 00:03:05.704560
10,distBased,0.3,16,True,RandomForest,DecisionTree,0.2,False,2023-06-22 00:03:05.708302,2023-06-22 00:03:20.912060
20,distBased,0.3,16,True,RandomForest,DecisionTree,0.3,False,2023-06-22 00:03:20.920637,2023-06-22 00:03:33.585353
30,distBased,0.3,16,True,RandomForest,DecisionTree,0.4,False,2023-06-22 00:03:33.594067,2023-06-22 00:03:51.212084
40,distBased,0.3,16,True,RandomForest,DecisionTree,0.5,False,2023-06-22 00:03:51.220258,2023-06-22 00:04:10.505638
50,distBased,0.3,16,True,RandomForest,DecisionTree,0.6,False,2023-06-22 00:04:10.530122,2023-06-22 00:04:32.176735
60,distBased,0.3,16,True,RandomForest,DecisionTree,0.7,False,2023-06-22 00:04:32.184860,2023-06-22 00:04:54.481786
70,distBased,0.3,16,True,RandomForest,DecisionTree,0.8,False,2023-06-22 00:04:54.505996,2023-06-22 00:05:24.401645
80,distBased,0.3,16,True,RandomForest,DecisionTree,0.9,False,2023-06-22 00:05:24.442920,2023-06-22 00:05:54.351244
90,distBased,0.3,16,True,RandomForest,DecisionTree,,,2023-06-22 00:02:54.438299,2023-06-22 00:05:54.375390
100,distBased,0.4,21,True,RandomForest,DecisionTree,0.1,False,2023-06-22 00:06:02.591312,2023-06-22 00:06:17.620999
110,distBased,0.4,21,True,RandomForest,DecisionTree,0.2,False,2023-06-22 00:06:17.629736,2023-06-22 00:06:35.414691
120,distBased,0.4,21,True,RandomForest,DecisionTree,0.3,False,2023-06-22 00:06:35.422964,2023-06-22 00:06:59.615507
130,distBased,0.4,21,True,RandomForest,DecisionTree,0.4,False,2023-06-22 00:06:59.623683,2023-06-22 00:07:20.452485
140,distBased,0.4,21,True,RandomForest,DecisionTree,0.5,False,2023-06-22 00:07:20.476360,2023-06-22 00:07:47.879350
150,distBased,0.4,21,True,RandomForest,DecisionTree,0.6,False,2023-06-22 00:07:47.887502,2023-06-22 00:08:13.573344
160,distBased,0.4,21,True,RandomForest,DecisionTree,0.7,False,2023-06-22 00:08:13.598906,2023-06-22 00:08:52.882381
170,distBased,0.4,21,True,RandomForest,DecisionTree,0.8,False,2023-06-22 00:08:52.890409,2023-06-22 00:09:31.828411
180,distBased,0.4,21,True,RandomForest,DecisionTree,0.9,False,2023-06-22 00:09:31.847742,2023-06-22 00:10:25.920892
190,distBased,0.4,21,True,RandomForest,DecisionTree,,,2023-06-22 00:06:01.808365,2023-06-22 00:10:25.929311
200,distBased,0.5,26,True,RandomForest,DecisionTree,0.1,False,2023-06-22 00:10:34.559818,2023-06-22 00:11:05.073075
210,distBased,0.5,26,True,RandomForest,DecisionTree,0.2,False,2023-06-22 00:11:05.081023,2023-06-22 00:11:37.006380
220,distBased,0.5,26,True,RandomForest,DecisionTree,0.3,False,2023-06-22 00:11:37.015626,2023-06-22 00:12:15.097825
230,distBased,0.5,26,True,RandomForest,DecisionTree,0.4,False,2023-06-22 00:12:15.122577,2023-06-22 00:12:58.458171
240,distBased,0.5,26,True,RandomForest,DecisionTree,0.5,False,2023-06-22 00:12:58.466140,2023-06-22 00:13:46.794305
250,distBased,0.5,26,True,RandomForest,DecisionTree,0.6,False,2023-06-22 00:13:46.803426,2023-06-22 00:14:43.620706
260,distBased,0.5,26,True,RandomForest,DecisionTree,0.7,False,2023-06-22 00:14:43.645480,2023-06-22 00:15:46.535639
270,distBased,0.5,26,True,RandomForest,DecisionTree,0.8,False,2023-06-22 00:15:46.560120,2023-06-22 00:16:49.861466
