,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,57,False,None,DecisionTree,0.1,False,2023-06-20 13:33:37.748027,2023-06-20 13:34:03.234132
10,distBased,1.0,57,False,None,DecisionTree,0.2,False,2023-06-20 13:34:03.237849,2023-06-20 13:34:33.868663
20,distBased,1.0,57,False,None,DecisionTree,0.3,False,2023-06-20 13:34:33.876829,2023-06-20 13:35:02.124616
30,distBased,1.0,57,False,None,DecisionTree,0.4,False,2023-06-20 13:35:02.132550,2023-06-20 13:35:35.142530
40,distBased,1.0,57,False,None,DecisionTree,0.5,False,2023-06-20 13:35:35.166553,2023-06-20 13:36:11.989393
50,distBased,1.0,57,False,None,DecisionTree,0.6,False,2023-06-20 13:36:11.997266,2023-06-20 13:36:54.314322
60,distBased,1.0,57,False,None,DecisionTree,0.7,False,2023-06-20 13:36:54.322063,2023-06-20 13:37:40.644796
70,distBased,1.0,57,False,None,DecisionTree,0.8,False,2023-06-20 13:37:40.652914,2023-06-20 13:38:40.976969
80,distBased,1.0,57,False,None,DecisionTree,0.9,False,2023-06-20 13:38:40.987659,2023-06-20 13:39:41.032653
90,distBased,1.0,57,False,None,DecisionTree,,,2023-06-20 13:33:37.743908,2023-06-20 13:39:41.040849
100,divDistBased,1.0,57,False,None,DecisionTree,0.1,False,2023-06-20 13:39:47.730933,2023-06-20 13:40:14.623841
110,divDistBased,1.0,57,False,None,DecisionTree,0.2,False,2023-06-20 13:40:14.631973,2023-06-20 13:40:45.579610
120,divDistBased,1.0,57,False,None,DecisionTree,0.3,False,2023-06-20 13:40:45.613772,2023-06-20 13:41:16.952778
130,divDistBased,1.0,57,False,None,DecisionTree,0.4,False,2023-06-20 13:41:16.960777,2023-06-20 13:41:56.477459
140,divDistBased,1.0,57,False,None,DecisionTree,0.5,False,2023-06-20 13:41:56.485325,2023-06-20 13:42:42.409154
150,divDistBased,1.0,57,False,None,DecisionTree,0.6,False,2023-06-20 13:42:42.417400,2023-06-20 13:43:31.644055
160,divDistBased,1.0,57,False,None,DecisionTree,0.7,False,2023-06-20 13:43:31.669142,2023-06-20 13:44:21.254417
170,divDistBased,1.0,57,False,None,DecisionTree,0.8,False,2023-06-20 13:44:21.262164,2023-06-20 13:45:14.995327
180,divDistBased,1.0,57,False,None,DecisionTree,0.9,False,2023-06-20 13:45:15.007562,2023-06-20 13:46:11.830900
190,divDistBased,1.0,57,False,None,DecisionTree,,,2023-06-20 13:39:47.729105,2023-06-20 13:46:11.843907
