,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,Hipacc,LinearRegression,None,twise,17.36,16.87,17.30,17.83
1,Hipacc,LinearRegression,RandomForest,twise,18.22,18.07,18.32,18.02
2,Hipacc,Lasso,None,twise,17.02,17.06,17.14,17.70
3,Hipacc,Lasso,RandomForest,twise,18.06,17.91,18.15,17.83
4,Hipacc,Ridge,None,twise,17.13,17.16,17.30,17.87
5,Hipacc,Ridge,RandomForest,twise,18.15,18.00,18.30,17.99
6,Hipacc,ElasticNet,None,twise,17.02,17.06,17.14,17.70
7,Hipacc,ElasticNet,RandomForest,twise,18.06,17.91,18.15,17.83
8,Hipacc,RandomForest,None,twise,3.59,2.18,1.66,1.54
9,Hipacc,RandomForest,RandomForest,twise,8.27,7.99,7.81,7.73
10,Hipacc,GradientBoostingTree,None,twise,9.79,9.59,9.34,9.45
11,Hipacc,GradientBoostingTree,RandomForest,twise,10.81,10.65,10.50,10.77
12,Hipacc,DecisionTree,None,twise,3.61,2.14,1.63,1.62
13,Hipacc,DecisionTree,RandomForest,twise,8.18,8.01,7.83,7.74
14,Hipacc,PolynomialRegression,None,twise,nan,nan,nan,nan
15,Hipacc,PolynomialRegression,RandomForest,twise,11.10,11.54,10.80,10.67
