,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"compressionLrzip                 2.842927e+05
level2                           1.818489e+05
compressionLzo                   1.738855e+05
unlimitedWindowSize              1.671494e+05
level8                           1.607162e+05
compression                      1.048042e+05
level7                           8.133520e+04
compressionGzip                  6.571695e+04
level3                           6.187948e+04
compressionBzip2                 6.011401e+04
level9                           4.000667e+04
level5                           3.602235e+04
#yes                             2.995310e+04
level1                           2.506175e+04
level6                           1.940039e+04
encryption                       1.135569e+04
disableCompressibilityTesting    1.150255e+03
compressionZpaq                  6.548362e-11
level                            1.455192e-11
dtype: float64","count    225.000000
mean     112.635578
std      114.350331
min        0.038702
25%       38.109382
50%       78.980160
75%      150.639912
max      654.616641
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.1,"compressionLzo                   244539.746739
compression                      185912.719298
level2                           151703.410254
compressionGzip                  150598.720594
compressionLrzip                 142385.966831
level8                            96637.268147
unlimitedWindowSize               87899.163995
level3                            80753.642519
level6                            68218.863014
encryption                        66284.500000
level5                            50224.437654
level7                            46489.016392
level1                            39424.667141
disableCompressibilityTesting     37464.871193
compressionBzip2                  24632.559211
level9                            22625.826591
#yes                              19435.291818
dtype: float64","count    225.000000
mean      85.033802
std       82.931924
min        0.796859
25%       26.576084
50%       62.886675
75%      102.285161
max      481.180056
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"compressionLrzip                 181675.929638
compressionLzo                    99790.507428
unlimitedWindowSize               96063.814208
level2                            88866.398483
level8                            80763.634755
compression                       69585.134172
compressionGzip                   45795.275966
encryption                        45381.820531
disableCompressibilityTesting     33499.905406
compressionBzip2                  33494.987929
level7                            32798.656613
#yes                              31224.539011
level3                            28475.540991
level6                            13896.976907
level1                            12543.135531
level5                             5720.508474
level9                             3294.701745
dtype: float64","count    225.000000
mean      76.208941
std       71.583168
min        0.328674
25%       21.876233
50%       62.129356
75%       95.984121
max      389.098542
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","ElasticNet(alpha=0.2, max_iter=1)",Performance,0.1,"compressionLrzip                 137861.873995
compressionLzo                   121487.977331
compression                      121268.184469
level2                            79461.850468
level8                            70816.135271
compressionGzip                   65443.669532
unlimitedWindowSize               57045.069833
disableCompressibilityTesting     52367.378599
encryption                        46862.294118
level3                            41509.268443
level1                            28059.316495
compressionBzip2                  24200.611193
#yes                              14463.129396
level7                             7471.466914
level9                             5881.560021
level6                             4711.870642
level5                             2884.335664
dtype: float64","count    225.000000
mean      72.555850
std       71.759196
min        0.382302
25%       16.191984
50%       60.999307
75%       93.367875
max      389.445258
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"6                   compressionZpaq
16                           level8
17                           level9
11                           level3
7                  compressionLrzip
10                           level2
9                            level1
15                           level7
3                  compressionBzip2
14                           level6
20                             #yes
4                   compressionGzip
13                           level5
12                           level4
18              unlimitedWindowSize
19    disableCompressibilityTesting
1                        encryption
2                       compression
5                    compressionLzo
8                             level
0                              root
Name: feature, dtype: object","count    225.000000
mean      26.715912
std       31.195190
min        0.017864
25%        6.029302
50%       12.157449
75%       33.476944
max       99.011627
Name: % error, dtype: float64"
5,GradientBoostingTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"6                   compressionZpaq
16                           level8
17                           level9
11                           level3
7                  compressionLrzip
9                            level1
10                           level2
15                           level7
3                  compressionBzip2
2                       compression
5                    compressionLzo
4                   compressionGzip
19    disableCompressibilityTesting
20                             #yes
14                           level6
1                        encryption
18              unlimitedWindowSize
12                           level4
13                           level5
8                             level
0                              root
Name: feature, dtype: object","count    225.000000
mean      29.848568
std       32.311779
min        0.014093
25%        7.122782
50%       15.533237
75%       42.294148
max      129.897708
Name: % error, dtype: float64"
6,DecisionTree,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"6                   compressionZpaq
16                           level8
17                           level9
11                           level3
7                  compressionLrzip
10                           level2
9                            level1
15                           level7
3                  compressionBzip2
4                   compressionGzip
14                           level6
19    disableCompressibilityTesting
1                        encryption
20                             #yes
13                           level5
18              unlimitedWindowSize
2                       compression
12                           level4
5                    compressionLzo
8                             level
0                              root
Name: feature, dtype: object","count    225.000000
mean      26.030617
std       35.371798
min        0.000000
25%        2.052931
50%        7.083806
75%       38.359917
max      109.009513
Name: % error, dtype: float64"
7,LinearRegression,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"compressionZpaq                  1.185783e+06
level7                           3.877570e+05
compressionBzip2                 3.598286e+05
compressionLzo                   3.532997e+05
compressionGzip                  3.322179e+05
level3                           3.046020e+05
unlimitedWindowSize              1.966098e+05
compression                      1.741047e+05
level2                           1.664654e+05
#yes                             1.136011e+05
level9                           1.030632e+05
level6                           9.928051e+04
level8                           8.291676e+04
level4                           3.950850e+04
level5                           3.574771e+04
compressionLrzip                 3.366785e+04
disableCompressibilityTesting    2.274339e+04
encryption                       1.525512e+04
level1                           4.155293e+02
level                            2.328306e-10
dtype: float64","count     200.000000
mean      194.547951
std       219.107259
min         0.967741
25%        51.850911
50%       115.952663
75%       259.742635
max      1062.453216
Name: % error, dtype: float64"
8,Lasso,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=1)",Performance,0.2,"compressionZpaq                  1.098657e+06
compressionLzo                   5.823557e+05
compressionGzip                  4.174591e+05
compression                      3.987407e+05
level3                           3.507511e+05
compressionBzip2                 2.686279e+05
level7                           2.272600e+05
level9                           1.819400e+05
level4                           1.541862e+05
level5                           1.535663e+05
level2                           1.416959e+05
level8                           9.156862e+04
encryption                       7.629229e+04
disableCompressibilityTesting    7.607614e+04
unlimitedWindowSize              2.720529e+04
level6                           1.825254e+04
compressionLrzip                 1.075056e+04
#yes                             7.422128e+03
level1                           4.515817e+03
dtype: float64","count    200.000000
mean     174.234344
std      203.408958
min        0.640059
25%       38.600213
50%       87.954343
75%      221.947187
max      983.016042
Name: % error, dtype: float64"
9,Ridge,False,None,"Index(['root', 'encryption', 'compression', 'compressionBzip2',
       'compressionGzip', 'compressionLzo', 'compressionZpaq',
       'compressionLrzip', 'level', 'level1', 'level2', 'level3', 'level4',
       'level5', 'level6', 'level7', 'level8', 'level9', 'unlimitedWindowSize',
       'disableCompressibilityTesting', '#yes'],
      dtype='object')",Ridge(),Performance,0.2,"compressionZpaq                  960598.968941
compressionLzo                   298120.695963
compressionGzip                  282454.561244
compressionBzip2                 277834.839868
level7                           276162.651139
level3                           249854.567468
compression                      148510.377645
level6                           148022.653908
level2                           146470.130801
unlimitedWindowSize              145389.999275
#yes                             110237.690386
level8                            63718.448404
compressionLrzip                  46321.505780
level5                            42821.853420
level9                            34733.097126
encryption                        27517.667656
level1                            25740.548234
disableCompressibilityTesting     13875.397974
level4                            11716.443599
dtype: float64","count    200.000000
mean     173.335885
std      184.064898
min        0.263227
25%       44.459027
50%       93.353425
75%      243.990355
max      796.855310
Name: % error, dtype: float64"
