,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"compression                      2.058711e+19
encryption                       1.280316e+19
#yes                             1.280316e+19
disableCompressibilityTesting    1.280316e+19
unlimitedWindowSize              1.280316e+19
compressionLzo                   5.019204e+18
compressionGzip                  5.019204e+18
compressionBzip2                 5.019204e+18
compressionLrzip                 5.019204e+18
compressionZpaq                  5.019204e+18
level3                           4.524730e+17
level2                           4.524730e+17
level1                           4.524730e+17
level6                           4.524730e+17
level5                           4.524730e+17
level4                           4.524730e+17
level7                           4.524730e+17
level8                           4.524730e+17
level9                           4.524730e+17
dtype: float64","count      25.000000
mean      295.603633
std       341.429604
min         7.910218
25%        41.191673
50%       155.787189
75%       324.208005
max      1197.066667
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.1,"compressionZpaq                  1.763871e+06
compressionLzo                   7.682775e+05
compression                      7.184043e+05
compressionGzip                  6.911843e+05
compressionBzip2                 6.013112e+05
level3                           5.363122e+05
level2                           4.088545e+05
level1                           3.997029e+05
level9                           3.789922e+05
level8                           3.152487e+05
compressionLrzip                 2.717193e+05
level6                           2.527087e+05
level5                           2.315720e+05
level4                           1.979381e+05
level7                           1.746216e+05
#yes                             4.108303e+04
disableCompressibilityTesting    4.072592e+04
encryption                       2.195947e+04
unlimitedWindowSize              1.515595e+04
dtype: float64","count      25.000000
mean      286.640185
std       329.491381
min         7.320760
25%        57.873356
50%       148.825130
75%       384.682909
max      1113.675169
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"compressionZpaq                  1.819683e+06
compressionLzo                   5.568683e+05
level9                           4.998085e+05
compressionGzip                  4.838814e+05
level8                           4.543440e+05
compressionBzip2                 3.988118e+05
level3                           3.418152e+05
compression                      2.900898e+05
level2                           2.239876e+05
level1                           2.165962e+05
#yes                             1.594078e+05
disableCompressibilityTesting    1.508153e+05
encryption                       1.385028e+05
unlimitedWindowSize              1.314536e+05
compressionLrzip                 9.003137e+04
level6                           7.615291e+04
level5                           6.040199e+04
level4                           4.350263e+04
level7                           8.304043e+03
dtype: float64","count      25.000000
mean      249.435121
std       313.402116
min         5.500791
25%        25.027467
50%       105.261181
75%       329.369499
max      1050.025722
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.1,"compressionZpaq                  1.689284e+06
compressionLzo                   5.477983e+05
compression                      5.072833e+05
compressionGzip                  4.801323e+05
level9                           4.327439e+05
compressionBzip2                 4.023879e+05
level8                           3.977583e+05
level3                           3.550841e+05
level2                           2.451256e+05
level1                           2.405691e+05
compressionLrzip                 1.034104e+05
level6                           1.019054e+05
level5                           8.990935e+04
level4                           8.517362e+04
#yes                             5.825021e+04
disableCompressibilityTesting    4.350810e+04
encryption                       3.851931e+04
unlimitedWindowSize              2.700590e+04
level7                           1.115750e+04
dtype: float64","count      25.000000
mean      226.158701
std       302.513328
min         1.070747
25%        22.619340
50%        99.000137
75%       282.636704
max      1004.185195
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    25.000000
mean      3.207904
std       3.781760
min       0.046201
25%       0.667163
50%       1.579940
75%       3.454370
max      13.340005
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"compression                      4.035688e+19
encryption                       2.573353e+19
unlimitedWindowSize              2.573353e+19
#yes                             2.573353e+19
disableCompressibilityTesting    2.573353e+19
compressionLzo                   1.111018e+19
compressionGzip                  1.111018e+19
compressionBzip2                 1.111018e+19
compressionLrzip                 1.111018e+19
compressionZpaq                  1.111018e+19
level3                           1.099577e+18
level1                           1.099577e+18
level2                           1.099577e+18
level5                           1.099577e+18
level6                           1.099577e+18
level4                           1.099577e+18
level7                           1.099577e+18
level8                           1.099577e+18
level9                           1.099577e+18
dtype: float64","count      50.000000
mean      269.164575
std       357.049086
min         2.087649
25%        53.367568
50%       127.430819
75%       272.700928
max      1456.244754
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')","Lasso(alpha=25, max_iter=5)",Performance,0.2,"compressionZpaq                  1.795425e+06
compressionLzo                   8.097699e+05
compression                      7.703285e+05
compressionGzip                  7.364241e+05
compressionBzip2                 6.183332e+05
level3                           5.757438e+05
level9                           4.555777e+05
level1                           4.211801e+05
level2                           3.640118e+05
level8                           3.054386e+05
compressionLrzip                 3.042968e+05
level6                           2.795190e+05
level5                           2.622557e+05
level4                           2.126142e+05
level7                           1.891242e+05
unlimitedWindowSize              4.559727e+04
disableCompressibilityTesting    4.555241e+04
#yes                             3.968514e+04
encryption                       3.366743e+04
dtype: float64","count      50.000000
mean      275.376642
std       339.066017
min         7.206008
25%        49.613874
50%       157.459606
75%       291.610333
max      1346.016352
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.2,"compressionZpaq                  1.865487e+06
compressionLzo                   5.696708e+05
level9                           5.669589e+05
compressionGzip                  4.976619e+05
level8                           4.477441e+05
compressionBzip2                 3.905783e+05
level3                           3.725536e+05
compression                      3.106443e+05
level1                           2.289703e+05
level2                           1.811858e+05
unlimitedWindowSize              1.589872e+05
#yes                             1.589531e+05
disableCompressibilityTesting    1.543979e+05
encryption                       1.489504e+05
compressionLrzip                 9.693199e+04
level6                           9.459320e+04
level5                           8.193249e+04
level4                           5.337088e+04
level7                           2.096752e+03
dtype: float64","count      50.000000
mean      238.425824
std       317.427736
min         7.892498
25%        27.092169
50%       106.236967
75%       244.349114
max      1246.267052
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=5)",Performance,0.2,"compressionZpaq                  1.743054e+06
compressionLzo                   5.730802e+05
compression                      5.390813e+05
compressionGzip                  5.039605e+05
level9                           4.987855e+05
compressionBzip2                 4.075938e+05
level8                           3.947355e+05
level3                           3.896441e+05
level1                           2.546043e+05
level2                           2.106691e+05
level6                           1.204451e+05
compressionLrzip                 1.188677e+05
level5                           1.092781e+05
level4                           9.206023e+04
#yes                             5.657844e+04
unlimitedWindowSize              5.166335e+04
encryption                       4.683978e+04
disableCompressibilityTesting    4.595587e+04
level7                           2.505361e+04
dtype: float64","count      50.000000
mean      219.144003
std       306.623710
min         4.192747
25%        21.315606
50%       103.871435
75%       225.515284
max      1185.758354
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['encryption', 'compression', 'compressionBzip2', 'compressionGzip',
       'compressionLzo', 'compressionZpaq', 'compressionLrzip', 'level1',
       'level2', 'level3', 'level4', 'level5', 'level6', 'level7', 'level8',
       'level9', 'unlimitedWindowSize', 'disableCompressibilityTesting',
       '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"encryption                      NaN
compression                     NaN
compressionBzip2                NaN
compressionGzip                 NaN
compressionLzo                  NaN
compressionZpaq                 NaN
compressionLrzip                NaN
level1                          NaN
level2                          NaN
level3                          NaN
level4                          NaN
level5                          NaN
level6                          NaN
level7                          NaN
level8                          NaN
level9                          NaN
unlimitedWindowSize             NaN
disableCompressibilityTesting   NaN
#yes                            NaN
Name: % error, dtype: float64","count    50.000000
mean      5.602558
std      12.427634
min       0.073726
25%       0.991649
50%       2.547573
75%       5.972160
max      86.890493
Name: % error, dtype: float64"
