,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,6,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:37:45.794025,2023-06-21 01:37:57.720388
10,distBased,0.3,6,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:37:57.725053,2023-06-21 01:38:15.795909
20,distBased,0.3,6,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:38:15.804209,2023-06-21 01:38:39.916097
30,distBased,0.3,6,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:38:39.925627,2023-06-21 01:39:09.651296
40,distBased,0.3,6,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:39:09.660113,2023-06-21 01:39:46.018753
50,distBased,0.3,6,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:39:46.029468,2023-06-21 01:40:24.112817
60,distBased,0.3,6,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:40:24.121454,2023-06-21 01:41:12.442135
70,distBased,0.3,6,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:41:12.462502,2023-06-21 01:41:45.012827
80,distBased,0.3,6,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:41:45.022240,2023-06-21 01:41:59.365327
90,distBased,0.3,6,True,RandomForest,DecisionTree,,,2023-06-21 01:37:45.280108,2023-06-21 01:41:59.374161
100,distBased,0.4,8,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:42:00.683906,2023-06-21 01:42:14.215568
110,distBased,0.4,8,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:42:14.225947,2023-06-21 01:42:26.721851
120,distBased,0.4,8,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:42:26.730451,2023-06-21 01:42:39.555993
130,distBased,0.4,8,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:42:39.564892,2023-06-21 01:42:52.721800
140,distBased,0.4,8,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:42:52.730682,2023-06-21 01:43:08.367962
150,distBased,0.4,8,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:43:08.376856,2023-06-21 01:43:23.155530
160,distBased,0.4,8,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:43:23.164471,2023-06-21 01:43:37.512550
170,distBased,0.4,8,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:43:37.544365,2023-06-21 01:43:53.512426
180,distBased,0.4,8,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:43:53.522391,2023-06-21 01:44:07.664123
190,distBased,0.4,8,True,RandomForest,DecisionTree,,,2023-06-21 01:42:00.204331,2023-06-21 01:44:07.672713
200,distBased,0.5,10,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:44:09.996158,2023-06-21 01:44:23.723866
210,distBased,0.5,10,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:44:23.732638,2023-06-21 01:44:36.036042
220,distBased,0.5,10,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:44:36.054089,2023-06-21 01:44:51.515275
230,distBased,0.5,10,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:44:51.525233,2023-06-21 01:45:07.485429
240,distBased,0.5,10,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:45:07.518879,2023-06-21 01:45:22.225775
250,distBased,0.5,10,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:45:22.251029,2023-06-21 01:45:37.696207
260,distBased,0.5,10,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:45:37.707047,2023-06-21 01:45:54.030017
270,distBased,0.5,10,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:45:54.039480,2023-06-21 01:46:07.319848
280,distBased,0.5,10,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:46:07.337813,2023-06-21 01:46:20.760578
290,distBased,0.5,10,True,RandomForest,DecisionTree,,,2023-06-21 01:44:09.485717,2023-06-21 01:46:20.769507
300,distBased,0.6,12,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:46:23.574366,2023-06-21 01:46:36.741604
310,distBased,0.6,12,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:46:36.756049,2023-06-21 01:46:51.326829
320,distBased,0.6,12,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:46:51.337449,2023-06-21 01:47:06.027883
330,distBased,0.6,12,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:47:06.035957,2023-06-21 01:47:21.169002
340,distBased,0.6,12,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:47:21.191203,2023-06-21 01:47:36.504938
350,distBased,0.6,12,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:47:36.545460,2023-06-21 01:47:53.571770
360,distBased,0.6,12,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:47:53.589121,2023-06-21 01:48:07.320821
370,distBased,0.6,12,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:48:07.331445,2023-06-21 01:48:23.040088
380,distBased,0.6,12,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:48:23.049079,2023-06-21 01:48:39.492906
390,distBased,0.6,12,True,RandomForest,DecisionTree,,,2023-06-21 01:46:23.012870,2023-06-21 01:48:39.502344
400,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:48:43.625458,2023-06-21 01:48:56.061993
410,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:48:56.071408,2023-06-21 01:49:13.020349
420,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:49:13.029535,2023-06-21 01:49:37.791732
430,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:49:37.801558,2023-06-21 01:50:11.596249
440,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:50:11.631437,2023-06-21 01:50:49.103127
450,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:50:49.126416,2023-06-21 01:51:32.912840
460,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:51:32.923654,2023-06-21 01:52:24.403641
470,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:52:24.412057,2023-06-21 01:53:04.211182
480,divDistBased,0.3,6,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:53:04.220811,2023-06-21 01:53:20.739187
490,divDistBased,0.3,6,True,RandomForest,DecisionTree,,,2023-06-21 01:48:43.116706,2023-06-21 01:53:20.747583
500,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:53:22.025495,2023-06-21 01:53:38.899125
510,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:53:38.907936,2023-06-21 01:53:53.853207
520,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:53:53.862144,2023-06-21 01:54:09.068685
530,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:54:09.077657,2023-06-21 01:54:25.300837
540,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:54:25.332398,2023-06-21 01:54:41.531769
550,divDistBased,0.4,8,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:54:41.540180,2023-06-21 01:54:59.637122
