,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,22,False,None,DecisionTree,0.1,False,2023-06-18 18:08:15.494361,2023-06-18 18:08:23.291414
10,distBased,1.0,22,False,None,DecisionTree,0.2,False,2023-06-18 18:08:23.295031,2023-06-18 18:08:35.189309
20,distBased,1.0,22,False,None,DecisionTree,0.3,False,2023-06-18 18:08:35.197311,2023-06-18 18:08:45.891344
30,distBased,1.0,22,False,None,DecisionTree,0.4,False,2023-06-18 18:08:45.899070,2023-06-18 18:08:56.628932
40,distBased,1.0,22,False,None,DecisionTree,0.5,False,2023-06-18 18:08:56.652403,2023-06-18 18:09:12.035119
50,distBased,1.0,22,False,None,DecisionTree,0.6,False,2023-06-18 18:09:12.040650,2023-06-18 18:09:22.902056
60,distBased,1.0,22,False,None,DecisionTree,0.7,False,2023-06-18 18:09:22.909299,2023-06-18 18:09:38.956326
70,distBased,1.0,22,False,None,DecisionTree,0.8,False,2023-06-18 18:09:38.985245,2023-06-18 18:09:52.240154
80,distBased,1.0,22,False,None,DecisionTree,0.9,False,2023-06-18 18:09:52.266852,2023-06-18 18:10:07.639661
90,distBased,1.0,22,False,None,DecisionTree,,,2023-06-18 18:08:15.492735,2023-06-18 18:10:07.645119
100,divDistBased,1.0,22,False,None,DecisionTree,0.1,False,2023-06-18 18:10:09.088652,2023-06-18 18:10:20.031979
110,divDistBased,1.0,22,False,None,DecisionTree,0.2,False,2023-06-18 18:10:20.057933,2023-06-18 18:10:35.729641
120,divDistBased,1.0,22,False,None,DecisionTree,0.3,False,2023-06-18 18:10:35.735141,2023-06-18 18:10:48.429020
130,divDistBased,1.0,22,False,None,DecisionTree,0.4,False,2023-06-18 18:10:48.445838,2023-06-18 18:10:59.085390
140,divDistBased,1.0,22,False,None,DecisionTree,0.5,False,2023-06-18 18:10:59.090892,2023-06-18 18:11:15.884802
150,divDistBased,1.0,22,False,None,DecisionTree,0.6,False,2023-06-18 18:11:15.902230,2023-06-18 18:11:31.472444
160,divDistBased,1.0,22,False,None,DecisionTree,0.7,False,2023-06-18 18:11:31.509066,2023-06-18 18:11:47.986391
170,divDistBased,1.0,22,False,None,DecisionTree,0.8,False,2023-06-18 18:11:48.004354,2023-06-18 18:12:02.212923
180,divDistBased,1.0,22,False,None,DecisionTree,0.9,False,2023-06-18 18:12:02.238876,2023-06-18 18:12:18.612438
190,divDistBased,1.0,22,False,None,DecisionTree,,,2023-06-18 18:10:09.087381,2023-06-18 18:12:18.639960
200,henard,1.0,22,False,None,DecisionTree,0.1,False,2023-06-18 18:12:22.786689,2023-06-18 18:12:36.798574
210,henard,1.0,22,False,None,DecisionTree,0.2,False,2023-06-18 18:12:36.806916,2023-06-18 18:12:52.960058
220,henard,1.0,22,False,None,DecisionTree,0.3,False,2023-06-18 18:12:52.984610,2023-06-18 18:13:06.168645
230,henard,1.0,22,False,None,DecisionTree,0.4,False,2023-06-18 18:13:06.178598,2023-06-18 18:13:22.145577
240,henard,1.0,22,False,None,DecisionTree,0.5,False,2023-06-18 18:13:22.166654,2023-06-18 18:13:36.316479
250,henard,1.0,22,False,None,DecisionTree,0.6,False,2023-06-18 18:13:36.362816,2023-06-18 18:13:51.168730
260,henard,1.0,22,False,None,DecisionTree,0.7,False,2023-06-18 18:13:51.191576,2023-06-18 18:14:04.535808
270,henard,1.0,22,False,None,DecisionTree,0.8,False,2023-06-18 18:14:04.542030,2023-06-18 18:14:20.451158
280,henard,1.0,22,False,None,DecisionTree,0.9,False,2023-06-18 18:14:20.480274,2023-06-18 18:14:34.791508
290,henard,1.0,22,False,None,DecisionTree,,,2023-06-18 18:12:22.785328,2023-06-18 18:14:34.810617
300,random,1.0,22,False,None,DecisionTree,0.1,False,2023-06-18 18:14:38.868692,2023-06-18 18:14:51.451967
310,random,1.0,22,False,None,DecisionTree,0.2,False,2023-06-18 18:14:51.483375,2023-06-18 18:15:08.564614
320,random,1.0,22,False,None,DecisionTree,0.3,False,2023-06-18 18:15:08.589461,2023-06-18 18:15:17.329437
330,random,1.0,22,False,None,DecisionTree,0.4,False,2023-06-18 18:15:17.334661,2023-06-18 18:15:31.611714
340,random,1.0,22,False,None,DecisionTree,0.5,False,2023-06-18 18:15:31.666622,2023-06-18 18:15:44.731940
350,random,1.0,22,False,None,DecisionTree,0.6,False,2023-06-18 18:15:44.769569,2023-06-18 18:15:59.019565
360,random,1.0,22,False,None,DecisionTree,0.7,False,2023-06-18 18:15:59.049017,2023-06-18 18:16:15.956350
370,random,1.0,22,False,None,DecisionTree,0.8,False,2023-06-18 18:16:15.986675,2023-06-18 18:16:30.299981
380,random,1.0,22,False,None,DecisionTree,0.9,False,2023-06-18 18:16:30.324209,2023-06-18 18:16:46.340017
390,random,1.0,22,False,None,DecisionTree,,,2023-06-18 18:14:38.867287,2023-06-18 18:16:46.348918
400,solverBased,1.0,22,False,None,DecisionTree,0.1,False,2023-06-18 18:16:49.079812,2023-06-18 18:17:01.374299
410,solverBased,1.0,22,False,None,DecisionTree,0.2,False,2023-06-18 18:17:01.379575,2023-06-18 18:17:15.189953
420,solverBased,1.0,22,False,None,DecisionTree,0.3,False,2023-06-18 18:17:15.196666,2023-06-18 18:17:28.169572
