,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,Irzip,LinearRegression,None,twise,371.09,446.58,372.97
1,Irzip,LinearRegression,RandomForest,twise,331.91,227.32,241.67
2,Irzip,Lasso,None,twise,371.23,275.38,286.64
3,Irzip,Lasso,RandomForest,twise,331.66,227.19,241.50
4,Irzip,Ridge,None,twise,268.20,238.43,249.44
5,Irzip,Ridge,RandomForest,twise,299.91,201.86,213.50
6,Irzip,ElasticNet,None,twise,251.72,219.14,226.16
7,Irzip,ElasticNet,RandomForest,twise,299.18,203.44,207.10
8,Irzip,RandomForest,None,twise,15.98,6.39,3.39
9,Irzip,RandomForest,RandomForest,twise,77.37,79.37,78.66
10,Irzip,PolynomialRegression,None,twise,nan,nan,nan
11,Irzip,PolynomialRegression,RandomForest,twise,321915600000.00,147.35,179.94
