,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,Irzip,LinearRegression,None,twise,393.09,371.09,306.75,372.97
1,Irzip,LinearRegression,RandomForest,twise,322.89,331.91,239.48,241.67
2,Irzip,Lasso,None,twise,398.22,371.23,293.54,286.64
3,Irzip,Lasso,RandomForest,twise,316.39,331.66,239.32,241.50
4,Irzip,Ridge,None,twise,283.82,268.20,221.80,249.44
5,Irzip,Ridge,RandomForest,twise,299.97,299.91,229.49,213.50
6,Irzip,ElasticNet,None,twise,307.17,251.72,206.24,226.16
7,Irzip,ElasticNet,RandomForest,twise,331.73,299.18,244.71,207.10
8,Irzip,RandomForest,None,twise,50.61,16.54,12.70,3.53
9,Irzip,RandomForest,RandomForest,twise,127.60,77.76,81.12,78.86
10,Irzip,GradientBoostingTree,None,twise,32.45,41.71,23.73,23.25
11,Irzip,GradientBoostingTree,RandomForest,twise,83.65,76.75,78.35,78.67
12,Irzip,DecisionTree,None,twise,12.73,13.39,11.07,2.79
13,Irzip,DecisionTree,RandomForest,twise,83.39,76.22,78.23,78.44
14,Irzip,PolynomialRegression,None,twise,nan,nan,nan,nan
15,Irzip,PolynomialRegression,RandomForest,twise,89.00,321915600000.00,77.50,179.94
