,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"inline    26.805001
licm      18.578578
gvn        4.831773
#yes       0.998048
dtype: float64","count    158.000000
mean       5.013110
std        3.933151
min        0.101814
25%        1.513129
50%        4.383944
75%        7.650891
max       15.487117
Name: % error, dtype: float64",4
1,Lasso,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.1,"inline    26.686317
licm      18.441208
gvn        4.706810
#yes       1.038255
dtype: float64","count    158.000000
mean       4.997966
std        3.936651
min        0.109196
25%        1.472679
50%        4.322980
75%        7.618577
max       15.506678
Name: % error, dtype: float64",4
2,Ridge,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.01),Performance,0.1,"inline    26.640835
licm      18.430547
gvn        4.732806
#yes       1.047771
dtype: float64","count    158.000000
mean       4.992119
std        3.930109
min        0.117267
25%        1.477860
50%        4.313354
75%        7.609040
max       15.485765
Name: % error, dtype: float64",4
3,ElasticNet,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.01, l1_ratio=1.0, max_iter=100)",Performance,0.1,"inline    26.686317
licm      18.441208
gvn        4.706810
#yes       1.038255
dtype: float64","count    158.000000
mean       4.997966
std        3.936651
min        0.109196
25%        1.472679
50%        4.322980
75%        7.618577
max       15.506678
Name: % error, dtype: float64",4
4,PolynomialRegression,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.1,"#yes      58.269408
licm      20.512259
gvn       16.183620
inline    14.923689
dtype: float64","count    158.000000
mean       7.662673
std        6.260222
min        0.077011
25%        2.814079
50%        5.877231
75%       11.628018
max       31.485899
Name: % error, dtype: float64",4
5,RandomForest,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.1,"1      #yes
0       gvn
2      licm
3    inline
Name: feature, dtype: object","count    158.000000
mean       4.821132
std        3.597681
min        0.004080
25%        2.226660
50%        3.819553
75%        6.506489
max       17.207867
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"1      #yes
0       gvn
2      licm
3    inline
Name: feature, dtype: object","count    158.000000
mean       5.823709
std        5.914201
min        0.016460
25%        2.200918
50%        3.996831
75%        6.670664
max       24.955936
Name: % error, dtype: float64",4
7,DecisionTree,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"1      #yes
0       gvn
2      licm
3    inline
Name: feature, dtype: object","count    158.000000
mean       6.614799
std        6.800418
min        0.054553
25%        2.258610
50%        4.567288
75%        8.218717
max       27.845979
Name: % error, dtype: float64",4
8,LinearRegression,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"licm      15.853413
inline    14.777003
gvn        9.804613
#yes       3.990147
dtype: float64","count    140.000000
mean       3.711657
std        2.674755
min        0.017386
25%        1.525675
50%        3.190641
75%        5.372746
max       14.361265
Name: % error, dtype: float64",4
9,Lasso,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')","Lasso(alpha=0.02, max_iter=5)",Performance,0.2,"licm      15.716411
inline    14.638117
gvn        9.672797
#yes       4.022650
dtype: float64","count    140.000000
mean       3.707520
std        2.672168
min        0.056293
25%        1.518169
50%        3.218464
75%        5.369419
max       14.382835
Name: % error, dtype: float64",4
10,Ridge,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",Ridge(alpha=0.3),Performance,0.2,"licm      15.074405
inline    13.980115
gvn        9.384914
#yes       4.143132
dtype: float64","count    140.000000
mean       3.684600
std        2.655109
min        0.028688
25%        1.501940
50%        3.197678
75%        5.463317
max       14.501219
Name: % error, dtype: float64",4
11,ElasticNet,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')","ElasticNet(alpha=0.02, l1_ratio=0.1, max_iter=100)",Performance,0.2,"licm      14.294411
inline    13.187809
gvn        8.959143
#yes       4.291736
dtype: float64","count    140.000000
mean       3.663501
std        2.645414
min        0.005970
25%        1.455374
50%        3.196322
75%        5.452971
max       14.635681
Name: % error, dtype: float64",4
12,PolynomialRegression,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",LinearRegression(),Performance,0.2,"gvn       16.626295
licm      13.833927
#yes       1.886290
inline     0.636671
dtype: float64","count    140.000000
mean       3.501561
std        2.309380
min        0.029663
25%        1.643768
50%        3.324297
75%        5.015689
max        9.887670
Name: % error, dtype: float64",4
13,RandomForest,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",RandomForestRegressor(),Performance,0.2,"1      #yes
0       gvn
2      licm
3    inline
Name: feature, dtype: object","count    140.000000
mean       3.439112
std        2.482515
min        0.043968
25%        1.325426
50%        3.262806
75%        4.879088
max       10.739853
Name: % error, dtype: float64",4
14,GradientBoostingTree,False,RandomForest,"Index(['gvn', '#yes', 'licm', 'inline'], dtype='object')",GradientBoostingRegressor(),Performance,0.2,"1      #yes
0       gvn
2      licm
3    inline
Name: feature, dtype: object","count    140.000000
mean       3.590167
std        2.659230
min        0.015421
25%        0.974118
50%        3.284413
75%        5.790642
max       10.372006
Name: % error, dtype: float64",4
