,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",LinearRegression(),Performance,0.1,"inline    30.978923
licm      16.311154
gvn       11.788206
#yes       0.804733
dtype: float64","count    158.000000
mean       3.763679
std        2.812406
min        0.026296
25%        1.343227
50%        3.434773
75%        5.504357
max       12.260091
Name: % error, dtype: float64",4
1,Lasso,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')","Lasso(alpha=0.01, max_iter=1)",Performance,0.1,"inline    27.320220
licm      25.668472
gvn       13.456801
#yes       1.389803
dtype: float64","count    158.000000
mean       3.646522
std        2.682443
min        0.075508
25%        1.490993
50%        3.067739
75%        5.366090
max       13.249289
Name: % error, dtype: float64",4
2,Ridge,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",Ridge(alpha=0.2),Performance,0.1,"inline    28.252280
licm      15.201813
gvn       10.492734
#yes       0.037919
dtype: float64","count    158.000000
mean       3.591666
std        2.694885
min        0.014063
25%        1.395849
50%        3.233493
75%        5.141984
max       12.785933
Name: % error, dtype: float64",4
3,ElasticNet,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')","ElasticNet(alpha=0.05, max_iter=1)",Performance,0.1,"inline    25.681138
licm      23.272894
gvn       11.925202
#yes       0.578169
dtype: float64","count    158.000000
mean       3.474561
std        2.590589
min        0.011255
25%        1.264579
50%        3.010563
75%        5.283180
max       11.739292
Name: % error, dtype: float64",4
4,PolynomialRegression,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",LinearRegression(),Performance,0.1,"inline    42.923004
licm      28.391451
gvn       17.026091
#yes      12.694236
dtype: float64","count    158.000000
mean       4.913851
std        4.200204
min        0.148050
25%        1.885697
50%        3.682951
75%        6.678030
max       21.082461
Name: % error, dtype: float64",4
5,RandomForest,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",RandomForestRegressor(),Performance,0.1,"0      licm
1    inline
3      #yes
2       gvn
Name: feature, dtype: object","count    158.000000
mean       4.603912
std        3.642882
min        0.002246
25%        1.395170
50%        4.305450
75%        6.759299
max       18.897762
Name: % error, dtype: float64",4
6,GradientBoostingTree,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0      licm
1    inline
2       gvn
3      #yes
Name: feature, dtype: object","count    158.000000
mean       5.247941
std        4.246904
min        0.034089
25%        1.447801
50%        4.274675
75%        7.876151
max       18.387684
Name: % error, dtype: float64",4
7,DecisionTree,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",DecisionTreeRegressor(),Performance,0.1,"0      licm
1    inline
2       gvn
3      #yes
Name: feature, dtype: object","count    158.000000
mean       5.962000
std        5.172129
min        0.034152
25%        1.485442
50%        4.437141
75%        9.254790
max       21.892801
Name: % error, dtype: float64",4
8,LinearRegression,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",LinearRegression(),Performance,0.2,"inline    24.921800
licm      19.611014
gvn       14.456015
#yes       1.361123
dtype: float64","count    140.000000
mean       3.494468
std        2.588927
min        0.002328
25%        1.394680
50%        3.013669
75%        4.931009
max       12.702955
Name: % error, dtype: float64",4
9,Lasso,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')","Lasso(alpha=0.01, max_iter=100)",Performance,0.2,"inline    24.799908
licm      19.526384
gvn       14.363852
#yes       1.312858
dtype: float64","count    140.000000
mean       3.487344
std        2.582684
min        0.026092
25%        1.370026
50%        3.014970
75%        4.946262
max       12.610486
Name: % error, dtype: float64",4
10,Ridge,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",Ridge(alpha=0.1),Performance,0.2,"inline    24.211137
licm      19.219713
gvn       14.062085
#yes       1.130338
dtype: float64","count    140.000000
mean       3.457012
std        2.549374
min        0.006483
25%        1.352485
50%        2.972644
75%        5.010423
max       12.233692
Name: % error, dtype: float64",4
11,ElasticNet,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')","ElasticNet(alpha=0.01, max_iter=100)",Performance,0.2,"inline    23.648828
licm      18.897063
gvn       13.737603
#yes       0.942881
dtype: float64","count    140.000000
mean       3.431713
std        2.517391
min        0.024271
25%        1.359811
50%        2.851008
75%        4.975879
max       11.855122
Name: % error, dtype: float64",4
12,PolynomialRegression,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",LinearRegression(),Performance,0.2,"gvn       21.853043
inline    19.850049
licm      19.046488
#yes       9.188517
dtype: float64","count    140.000000
mean       3.128830
std        2.495574
min        0.015851
25%        0.882594
50%        2.664077
75%        4.902352
max        9.575560
Name: % error, dtype: float64",4
13,RandomForest,False,RandomForest,"Index(['licm', 'inline', 'gvn', '#yes'], dtype='object')",RandomForestRegressor(),Performance,0.2,"0      licm
1    inline
3      #yes
2       gvn
Name: feature, dtype: object","count    140.000000
mean       3.346445
std        2.637549
min        0.034702
25%        0.991309
50%        2.877005
75%        5.497612
max       13.447288
Name: % error, dtype: float64",4
