,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,4,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:37:54.057879,2023-06-21 01:38:05.250199
10,distBased,0.3,4,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:38:05.254323,2023-06-21 01:38:22.743901
20,distBased,0.3,4,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:38:22.752505,2023-06-21 01:38:45.924504
30,distBased,0.3,4,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:38:45.933365,2023-06-21 01:39:16.051729
40,distBased,0.3,4,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:39:16.062277,2023-06-21 01:39:51.005397
50,distBased,0.3,4,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:39:51.014346,2023-06-21 01:40:31.892474
60,distBased,0.3,4,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:40:31.915781,2023-06-21 01:41:19.367215
70,distBased,0.3,4,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:41:19.382231,2023-06-21 01:41:49.843030
80,distBased,0.3,4,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:41:49.859487,2023-06-21 01:42:02.883641
90,distBased,0.3,4,True,RandomForest,DecisionTree,,,2023-06-21 01:37:53.479653,2023-06-21 01:42:02.892336
100,distBased,0.4,5,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:42:04.129028,2023-06-21 01:42:17.999276
110,distBased,0.4,5,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:42:18.009516,2023-06-21 01:42:31.131254
120,distBased,0.4,5,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:42:31.140289,2023-06-21 01:42:45.039923
130,distBased,0.4,5,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:42:45.058312,2023-06-21 01:42:57.140224
140,distBased,0.4,5,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:42:57.149290,2023-06-21 01:43:11.293528
150,distBased,0.4,5,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:43:11.302517,2023-06-21 01:43:25.004855
160,distBased,0.4,5,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:43:25.014005,2023-06-21 01:43:38.996023
170,distBased,0.4,5,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:43:39.005317,2023-06-21 01:43:54.398587
180,distBased,0.4,5,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:43:54.408120,2023-06-21 01:44:08.320381
