,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,14,False,None,DecisionTree,0.1,False,2023-06-18 18:08:00.813912,2023-06-18 18:08:10.014965
10,distBased,1.0,14,False,None,DecisionTree,0.2,False,2023-06-18 18:08:10.019007,2023-06-18 18:08:17.283608
20,distBased,1.0,14,False,None,DecisionTree,0.3,False,2023-06-18 18:08:17.291228,2023-06-18 18:08:23.487009
30,distBased,1.0,14,False,None,DecisionTree,0.4,False,2023-06-18 18:08:23.495241,2023-06-18 18:08:35.032367
40,distBased,1.0,14,False,None,DecisionTree,0.5,False,2023-06-18 18:08:35.058638,2023-06-18 18:08:43.399086
50,distBased,1.0,14,False,None,DecisionTree,0.6,False,2023-06-18 18:08:43.407133,2023-06-18 18:08:50.631871
60,distBased,1.0,14,False,None,DecisionTree,0.7,False,2023-06-18 18:08:50.657732,2023-06-18 18:09:02.071232
70,distBased,1.0,14,False,None,DecisionTree,0.8,False,2023-06-18 18:09:02.092713,2023-06-18 18:09:14.982939
80,distBased,1.0,14,False,None,DecisionTree,0.9,False,2023-06-18 18:09:14.990527,2023-06-18 18:09:22.780301
90,distBased,1.0,14,False,None,DecisionTree,,,2023-06-18 18:08:00.812698,2023-06-18 18:09:22.785573
100,divDistBased,1.0,14,False,None,DecisionTree,0.1,False,2023-06-18 18:09:24.327557,2023-06-18 18:09:33.171312
110,divDistBased,1.0,14,False,None,DecisionTree,0.2,False,2023-06-18 18:09:33.176717,2023-06-18 18:09:46.377462
120,divDistBased,1.0,14,False,None,DecisionTree,0.3,False,2023-06-18 18:09:46.407699,2023-06-18 18:09:54.651783
130,divDistBased,1.0,14,False,None,DecisionTree,0.4,False,2023-06-18 18:09:54.657193,2023-06-18 18:10:06.507210
140,divDistBased,1.0,14,False,None,DecisionTree,0.5,False,2023-06-18 18:10:06.523478,2023-06-18 18:10:19.425034
150,divDistBased,1.0,14,False,None,DecisionTree,0.6,False,2023-06-18 18:10:19.434914,2023-06-18 18:10:29.872628
160,divDistBased,1.0,14,False,None,DecisionTree,0.7,False,2023-06-18 18:10:29.914201,2023-06-18 18:10:37.685661
170,divDistBased,1.0,14,False,None,DecisionTree,0.8,False,2023-06-18 18:10:37.694489,2023-06-18 18:10:50.068829
180,divDistBased,1.0,14,False,None,DecisionTree,0.9,False,2023-06-18 18:10:50.102598,2023-06-18 18:11:02.052057
190,divDistBased,1.0,14,False,None,DecisionTree,,,2023-06-18 18:09:24.326626,2023-06-18 18:11:02.057484
200,henard,1.0,14,False,None,DecisionTree,0.1,False,2023-06-18 18:11:04.856565,2023-06-18 18:11:10.261028
210,henard,1.0,14,False,None,DecisionTree,0.2,False,2023-06-18 18:11:10.266685,2023-06-18 18:11:20.574670
220,henard,1.0,14,False,None,DecisionTree,0.3,False,2023-06-18 18:11:20.582533,2023-06-18 18:11:33.371893
230,henard,1.0,14,False,None,DecisionTree,0.4,False,2023-06-18 18:11:33.380283,2023-06-18 18:11:45.753285
240,henard,1.0,14,False,None,DecisionTree,0.5,False,2023-06-18 18:11:45.775429,2023-06-18 18:11:57.002166
250,henard,1.0,14,False,None,DecisionTree,0.6,False,2023-06-18 18:11:57.010773,2023-06-18 18:12:10.519877
260,henard,1.0,14,False,None,DecisionTree,0.7,False,2023-06-18 18:12:10.530987,2023-06-18 18:12:24.272603
270,henard,1.0,14,False,None,DecisionTree,0.8,False,2023-06-18 18:12:24.301495,2023-06-18 18:12:34.918235
280,henard,1.0,14,False,None,DecisionTree,0.9,False,2023-06-18 18:12:34.942886,2023-06-18 18:12:46.538249
290,henard,1.0,14,False,None,DecisionTree,,,2023-06-18 18:11:04.855355,2023-06-18 18:12:46.563459
300,random,1.0,14,False,None,DecisionTree,0.1,False,2023-06-18 18:12:50.994971,2023-06-18 18:13:01.915754
310,random,1.0,14,False,None,DecisionTree,0.2,False,2023-06-18 18:13:01.978707,2023-06-18 18:13:11.825076
320,random,1.0,14,False,None,DecisionTree,0.3,False,2023-06-18 18:13:11.851105,2023-06-18 18:13:25.563577
330,random,1.0,14,False,None,DecisionTree,0.4,False,2023-06-18 18:13:25.581533,2023-06-18 18:13:35.973376
340,random,1.0,14,False,None,DecisionTree,0.5,False,2023-06-18 18:13:36.014152,2023-06-18 18:13:48.192909
350,random,1.0,14,False,None,DecisionTree,0.6,False,2023-06-18 18:13:48.210498,2023-06-18 18:13:56.836433
360,random,1.0,14,False,None,DecisionTree,0.7,False,2023-06-18 18:13:56.856656,2023-06-18 18:14:04.236367
370,random,1.0,14,False,None,DecisionTree,0.8,False,2023-06-18 18:14:04.265610,2023-06-18 18:14:14.860682
380,random,1.0,14,False,None,DecisionTree,0.9,False,2023-06-18 18:14:14.868622,2023-06-18 18:14:29.453554
390,random,1.0,14,False,None,DecisionTree,,,2023-06-18 18:12:50.993447,2023-06-18 18:14:29.479573
400,solverBased,1.0,14,False,None,DecisionTree,0.1,False,2023-06-18 18:14:32.732759,2023-06-18 18:14:43.294666
410,solverBased,1.0,14,False,None,DecisionTree,0.2,False,2023-06-18 18:14:43.324562,2023-06-18 18:14:54.346797
