,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,LLVM,LinearRegression,None,twise,2.88,3.26,2.88
1,LLVM,LinearRegression,RandomForest,twise,3.22,3.67,3.45
2,LLVM,Lasso,None,twise,2.81,3.33,2.95
3,LLVM,Lasso,RandomForest,twise,3.20,3.67,3.56
4,LLVM,Ridge,None,twise,2.84,3.27,2.94
5,LLVM,Ridge,RandomForest,twise,3.19,3.67,3.50
6,LLVM,ElasticNet,None,twise,2.81,3.33,2.95
7,LLVM,ElasticNet,RandomForest,twise,3.18,3.67,3.50
8,LLVM,RandomForest,None,twise,3.13,3.20,3.35
9,LLVM,RandomForest,RandomForest,twise,3.76,4.01,3.84
10,LLVM,PolynomialRegression,None,twise,nan,nan,nan
11,LLVM,PolynomialRegression,RandomForest,twise,3.35,4.07,4.12
