,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,LLVM,LinearRegression,None,twise,2.65,2.88,3.18,2.88
1,LLVM,LinearRegression,RandomForest,twise,3.12,3.22,3.46,3.45
2,LLVM,Lasso,None,twise,2.60,2.81,3.19,2.95
3,LLVM,Lasso,RandomForest,twise,3.10,3.20,3.48,3.56
4,LLVM,Ridge,None,twise,2.59,2.84,3.18,2.94
5,LLVM,Ridge,RandomForest,twise,3.05,3.19,3.47,3.50
6,LLVM,ElasticNet,None,twise,2.60,2.81,3.18,2.95
7,LLVM,ElasticNet,RandomForest,twise,3.05,3.18,3.49,3.50
8,LLVM,RandomForest,None,twise,3.24,3.21,3.07,3.39
9,LLVM,RandomForest,RandomForest,twise,3.74,3.74,3.52,3.86
10,LLVM,GradientBoostingTree,None,twise,3.02,3.26,2.86,3.11
11,LLVM,GradientBoostingTree,RandomForest,twise,3.72,3.85,3.48,3.91
12,LLVM,DecisionTree,None,twise,3.25,3.33,3.19,3.49
13,LLVM,DecisionTree,RandomForest,twise,3.92,4.07,3.65,3.75
14,LLVM,PolynomialRegression,None,twise,nan,nan,nan,nan
15,LLVM,PolynomialRegression,RandomForest,twise,3.28,3.35,3.72,4.12
