,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy
0,LinearRegression,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"parallel_force                   3.755621e+13
parallel                         3.755621e+13
polly_parallel                   3.721097e+13
min                              5.141543e+12
max                              5.141543e+12
value_based                      3.640861e+12
memory_based                     3.640861e+12
pollyoptmaxconstantterm_10000    2.811556e+12
pollyoptmaxconstantterm_1        2.811556e+12
pollyoptmaxconstantterm_100      2.811556e+12
pollyoptmaxconstantterm_1000     2.811556e+12
pollyoptmaxconstantterm_10       2.811556e+12
pollydefaulttilesize_4           1.492489e+12
pollydefaulttilesize_64          1.492489e+12
pollydefaulttilesize_1024        1.492489e+12
pollydefaulttilesize_256         1.492489e+12
pollydefaulttilesize_16          1.492489e+12
pollyrtcmaxparameters_2          9.544683e+11
pollyrtcmaxparameters_1          9.544683e+11
pollyrtcmaxparameters_16         9.544683e+11
pollyrtcmaxparameters_4          9.544683e+11
pollyrtcmaxparameters_8          9.544683e+11
pollyoptmaxcoefficient_10000     5.626767e+11
pollyoptmaxcoefficient_1         5.626767e+11
pollyoptmaxcoefficient_10        5.626767e+11
pollyoptmaxcoefficient_1000      5.626767e+11
pollyoptmaxcoefficient_100       5.626767e+11
polly_opt_simplify_deps          1.726214e+11
#yes                             1.726214e+11
polly_no_tiling                  1.726214e+11
polly                            7.021091e+09
none                             7.021091e+09
dtype: float64","count    218.000000
mean      26.503831
std       43.584594
min        0.085942
25%        5.422988
50%       13.584652
75%       21.014764
max      285.835949
Name: % error, dtype: float64"
1,Lasso,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.02, max_iter=100)",Performance,0.1,"value_based                     7.028586e+00
min                             5.858188e+00
polly_no_tiling                 4.079821e+00
parallel                        1.691829e+00
pollydefaulttilesize_4          1.068366e+00
none                            7.400386e-01
pollyrtcmaxparameters_8         7.103262e-01
polly_opt_simplify_deps         3.342000e-01
pollyoptmaxconstantterm_10      2.906255e-01
pollyoptmaxconstantterm_1000    2.679478e-01
pollyoptmaxcoefficient_100      1.677578e-01
pollyoptmaxconstantterm_1       1.112340e-01
pollydefaulttilesize_16         6.846699e-02
parallel_force                  6.469557e-02
pollyrtcmaxparameters_2         4.039962e-02
pollydefaulttilesize_64         2.420072e-02
pollydefaulttilesize_256        1.789810e-02
polly                           3.930041e-16
dtype: float64","count    218.000000
mean      26.555374
std       44.174179
min        0.169167
25%        5.798940
50%       13.642756
75%       20.363868
max      286.645291
Name: % error, dtype: float64"
2,Ridge,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.1,"value_based                      3.509129
memory_based                     3.509129
polly_no_tiling                  3.169351
min                              2.951773
max                              2.951773
parallel_force                   1.220947
polly_opt_simplify_deps          1.164146
pollydefaulttilesize_4           0.904938
#yes                             0.870441
pollyrtcmaxparameters_8          0.722867
parallel                         0.653565
polly_parallel                   0.567382
pollydefaulttilesize_16          0.462024
polly                            0.407229
none                             0.407229
pollyoptmaxconstantterm_10       0.364158
pollyoptmaxcoefficient_100       0.322468
pollyoptmaxconstantterm_1        0.308090
pollyoptmaxconstantterm_1000     0.269945
pollyrtcmaxparameters_2          0.269790
pollydefaulttilesize_256         0.242158
pollyrtcmaxparameters_1          0.215341
pollyoptmaxcoefficient_10000     0.177793
pollyrtcmaxparameters_16         0.168025
pollyoptmaxconstantterm_100      0.164689
pollyoptmaxconstantterm_10000    0.161324
pollydefaulttilesize_1024        0.160708
pollyoptmaxcoefficient_1         0.160098
pollyoptmaxcoefficient_1000      0.104738
pollyoptmaxcoefficient_10        0.089315
pollyrtcmaxparameters_4          0.069710
pollydefaulttilesize_64          0.040047
dtype: float64","count    218.000000
mean      26.590623
std       44.053565
min        0.257349
25%        5.698184
50%       13.766213
75%       20.752257
max      287.887885
Name: % error, dtype: float64"
3,ElasticNet,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=1.0, max_iter=100)",Performance,0.1,"value_based                     7.028586e+00
min                             5.858188e+00
polly_no_tiling                 4.079821e+00
parallel                        1.691829e+00
pollydefaulttilesize_4          1.068366e+00
none                            7.400386e-01
pollyrtcmaxparameters_8         7.103262e-01
polly_opt_simplify_deps         3.342000e-01
pollyoptmaxconstantterm_10      2.906255e-01
pollyoptmaxconstantterm_1000    2.679478e-01
pollyoptmaxcoefficient_100      1.677578e-01
pollyoptmaxconstantterm_1       1.112340e-01
pollydefaulttilesize_16         6.846699e-02
parallel_force                  6.469557e-02
pollyrtcmaxparameters_2         4.039962e-02
pollydefaulttilesize_64         2.420072e-02
pollydefaulttilesize_256        1.789810e-02
polly                           3.930041e-16
dtype: float64","count    218.000000
mean      26.555374
std       44.174179
min        0.169167
25%        5.798940
50%       13.642756
75%       20.363868
max      286.645291
Name: % error, dtype: float64"
4,RandomForest,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"max                              4.923381
min                              0.000218
none                                  NaN
polly                                 NaN
polly_parallel                        NaN
parallel                              NaN
parallel_force                        NaN
polly_no_tiling                       NaN
value_based                           NaN
memory_based                          NaN
polly_opt_simplify_deps               NaN
pollyrtcmaxparameters_1               NaN
pollyrtcmaxparameters_2               NaN
pollyrtcmaxparameters_4               NaN
pollyrtcmaxparameters_8               NaN
pollyrtcmaxparameters_16              NaN
pollyoptmaxconstantterm_1             NaN
pollyoptmaxconstantterm_10            NaN
pollyoptmaxconstantterm_100           NaN
pollyoptmaxconstantterm_1000          NaN
pollyoptmaxconstantterm_10000         NaN
pollyoptmaxcoefficient_1              NaN
pollyoptmaxcoefficient_10             NaN
pollyoptmaxcoefficient_100            NaN
pollyoptmaxcoefficient_1000           NaN
pollyoptmaxcoefficient_10000          NaN
pollydefaulttilesize_4                NaN
pollydefaulttilesize_16               NaN
pollydefaulttilesize_64               NaN
pollydefaulttilesize_256              NaN
pollydefaulttilesize_1024             NaN
#yes                                  NaN
Name: % error, dtype: float64","count    218.000000
mean       1.028623
std        0.917963
min        0.000218
25%        0.312601
50%        0.747798
75%        1.480365
max        4.923381
Name: % error, dtype: float64"
5,LinearRegression,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"polly_parallel                   1.689417e+13
parallel                         1.660133e+13
parallel_force                   1.660133e+13
pollyoptmaxcoefficient_100       5.314289e+11
pollyoptmaxcoefficient_1000      5.314289e+11
pollyoptmaxcoefficient_10000     5.314289e+11
pollyoptmaxcoefficient_10        5.314289e+11
pollyoptmaxcoefficient_1         5.314289e+11
polly_opt_simplify_deps          1.464209e+11
#yes                             1.464209e+11
polly_no_tiling                  1.464209e+11
max                              1.014435e+11
min                              1.014435e+11
pollyoptmaxconstantterm_10       8.418175e+10
pollyoptmaxconstantterm_1000     8.418175e+10
pollyoptmaxconstantterm_100      8.418175e+10
pollyoptmaxconstantterm_10000    8.418175e+10
pollyoptmaxconstantterm_1        8.418175e+10
pollyrtcmaxparameters_2          6.962227e+10
pollyrtcmaxparameters_1          6.962227e+10
pollyrtcmaxparameters_4          6.962227e+10
pollyrtcmaxparameters_16         6.962227e+10
pollyrtcmaxparameters_8          6.962227e+10
pollydefaulttilesize_4           2.640327e+10
pollydefaulttilesize_64          2.640327e+10
pollydefaulttilesize_1024        2.640327e+10
pollydefaulttilesize_256         2.640327e+10
pollydefaulttilesize_16          2.640327e+10
value_based                      1.346496e+10
memory_based                     1.346496e+10
none                             4.369059e-01
polly                            4.263870e-01
dtype: float64","count    435.000000
mean      26.307321
std       44.090403
min        0.047364
25%        6.547536
50%       13.615954
75%       20.875899
max      286.889778
Name: % error, dtype: float64"
6,Lasso,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.2,"value_based                     6.888057e+00
min                             5.660901e+00
polly_no_tiling                 3.779337e+00
parallel                        1.447040e+00
pollydefaulttilesize_4          9.099390e-01
none                            6.596110e-01
pollyrtcmaxparameters_8         3.043115e-01
pollyoptmaxconstantterm_1       1.570834e-01
pollyoptmaxconstantterm_1000    1.279026e-01
polly_opt_simplify_deps         6.394420e-02
pollyoptmaxconstantterm_100     5.955543e-02
pollyoptmaxconstantterm_10      1.587832e-02
memory_based                    3.910833e-15
max                             3.301579e-17
dtype: float64","count    435.000000
mean      26.859900
std       46.627504
min        0.044245
25%        6.688917
50%       13.456264
75%       19.305869
max      304.852296
Name: % error, dtype: float64"
7,Ridge,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",Ridge(alpha=10),Performance,0.2,"memory_based                     3.489514
value_based                      3.489514
polly_no_tiling                  3.051262
min                              2.938953
max                              2.938953
parallel_force                   1.175824
polly_opt_simplify_deps          1.053427
pollydefaulttilesize_4           0.868994
#yes                             0.847988
pollyrtcmaxparameters_8          0.702894
parallel                         0.600900
polly_parallel                   0.574923
pollyoptmaxconstantterm_10       0.442146
polly                            0.432193
none                             0.432193
pollydefaulttilesize_16          0.425721
pollyoptmaxconstantterm_1        0.382718
pollyoptmaxcoefficient_100       0.302713
pollyoptmaxconstantterm_1000     0.286744
pollyrtcmaxparameters_2          0.247025
pollydefaulttilesize_256         0.209852
pollyrtcmaxparameters_1          0.194482
pollyoptmaxconstantterm_100      0.184399
pollyoptmaxcoefficient_1         0.167957
pollyoptmaxconstantterm_10000    0.161773
pollyrtcmaxparameters_4          0.152920
pollyoptmaxcoefficient_10        0.145490
pollydefaulttilesize_1024        0.120207
pollydefaulttilesize_64          0.113213
pollyrtcmaxparameters_16         0.108467
pollyoptmaxcoefficient_1000      0.098221
pollyoptmaxcoefficient_10000     0.087486
dtype: float64","count    435.000000
mean      26.465448
std       44.784818
min        0.105952
25%        6.467624
50%       13.624137
75%       20.501632
max      294.392203
Name: % error, dtype: float64"
8,ElasticNet,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')","ElasticNet(alpha=0.05, l1_ratio=1.0, max_iter=5)",Performance,0.2,"value_based                     6.888057e+00
min                             5.660901e+00
polly_no_tiling                 3.779337e+00
parallel                        1.447040e+00
pollydefaulttilesize_4          9.099390e-01
none                            6.596110e-01
pollyrtcmaxparameters_8         3.043115e-01
pollyoptmaxconstantterm_1       1.570834e-01
pollyoptmaxconstantterm_1000    1.279026e-01
polly_opt_simplify_deps         6.394420e-02
pollyoptmaxconstantterm_100     5.955543e-02
pollyoptmaxconstantterm_10      1.587832e-02
memory_based                    3.910833e-15
max                             3.301579e-17
dtype: float64","count    435.000000
mean      26.859900
std       46.627504
min        0.044245
25%        6.688917
50%       13.456264
75%       19.305869
max      304.852296
Name: % error, dtype: float64"
9,RandomForest,False,None,"Index(['none', 'polly', 'polly_parallel', 'parallel', 'parallel_force',
       'polly_no_tiling', 'value_based', 'memory_based', 'min', 'max',
       'polly_opt_simplify_deps', 'pollyrtcmaxparameters_1',
       'pollyrtcmaxparameters_2', 'pollyrtcmaxparameters_4',
       'pollyrtcmaxparameters_8', 'pollyrtcmaxparameters_16',
       'pollyoptmaxconstantterm_1', 'pollyoptmaxconstantterm_10',
       'pollyoptmaxconstantterm_100', 'pollyoptmaxconstantterm_1000',
       'pollyoptmaxconstantterm_10000', 'pollyoptmaxcoefficient_1',
       'pollyoptmaxcoefficient_10', 'pollyoptmaxcoefficient_100',
       'pollyoptmaxcoefficient_1000', 'pollyoptmaxcoefficient_10000',
       'pollydefaulttilesize_4', 'pollydefaulttilesize_16',
       'pollydefaulttilesize_64', 'pollydefaulttilesize_256',
       'pollydefaulttilesize_1024', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"max                              6.133368
min                              0.000583
none                                  NaN
polly                                 NaN
polly_parallel                        NaN
parallel                              NaN
parallel_force                        NaN
polly_no_tiling                       NaN
value_based                           NaN
memory_based                          NaN
polly_opt_simplify_deps               NaN
pollyrtcmaxparameters_1               NaN
pollyrtcmaxparameters_2               NaN
pollyrtcmaxparameters_4               NaN
pollyrtcmaxparameters_8               NaN
pollyrtcmaxparameters_16              NaN
pollyoptmaxconstantterm_1             NaN
pollyoptmaxconstantterm_10            NaN
pollyoptmaxconstantterm_100           NaN
pollyoptmaxconstantterm_1000          NaN
pollyoptmaxconstantterm_10000         NaN
pollyoptmaxcoefficient_1              NaN
pollyoptmaxcoefficient_10             NaN
pollyoptmaxcoefficient_100            NaN
pollyoptmaxcoefficient_1000           NaN
pollyoptmaxcoefficient_10000          NaN
pollydefaulttilesize_4                NaN
pollydefaulttilesize_16               NaN
pollydefaulttilesize_64               NaN
pollydefaulttilesize_256              NaN
pollydefaulttilesize_1024             NaN
#yes                                  NaN
Name: % error, dtype: float64","count    435.000000
mean       1.128048
std        1.010281
min        0.000583
25%        0.322895
50%        0.860938
75%        1.605642
max        6.133368
Name: % error, dtype: float64"
