,algorithm_name,ft_dummyfication,origin_ft_selection,ft_selection,hyperparameters,size_target,test_size,coef_order,accuracy,num_features
0,LinearRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"value_based               1.339164e+15
memory_based              1.339164e+15
max                       1.857918e+14
min                       1.857918e+14
none                      1.056077e+14
polly                     1.056077e+14
polly_no_tiling           9.375000e+00
parallel                  1.906250e+00
#yes                      4.687500e-01
pollydefaulttilesize_4    4.003906e-02
dtype: float64","count    1955.000000
mean       26.644620
std        30.679745
min         0.615791
25%         6.812165
50%        13.708087
75%        27.819095
max       184.047437
Name: % error, dtype: float64",10
1,Lasso,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=5)",Performance,0.1,"memory_based       9.317311e+00
polly_no_tiling    8.491572e+00
min                7.105839e+00
none               4.259595e+00
parallel           1.596322e+00
max                1.064560e+00
#yes               5.106733e-01
value_based        3.751966e-01
polly              6.031154e-15
dtype: float64","count    1955.000000
mean       27.909515
std        34.607478
min         0.369337
25%         6.641474
50%        14.510787
75%        27.989596
max       203.243067
Name: % error, dtype: float64",10
2,Ridge,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=2),Performance,0.1,"polly_no_tiling           8.199190
memory_based              4.814048
value_based               4.814048
max                       4.144813
min                       4.144813
none                      2.178428
polly                     2.178428
parallel                  1.628491
#yes                      0.586731
pollydefaulttilesize_4    0.184640
dtype: float64","count    1955.000000
mean       27.861293
std        34.587684
min         0.002673
25%         6.517192
50%        15.291576
75%        27.774851
max       202.666790
Name: % error, dtype: float64",10
3,ElasticNet,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0)",Performance,0.1,"polly_no_tiling           8.122142
memory_based              4.802843
value_based               4.802843
min                       4.135843
max                       4.135843
polly                     2.173251
none                      2.173251
parallel                  1.596741
#yes                      0.598561
pollydefaulttilesize_4    0.179531
dtype: float64","count    1955.000000
mean       27.919549
std        34.755642
min         0.095822
25%         6.482745
50%        15.353619
75%        27.723917
max       203.638033
Name: % error, dtype: float64",10
4,PolynomialRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.1,"polly_no_tiling           2.868828e+13
polly                     9.233660e+12
memory_based              8.174088e+12
value_based               5.970173e+12
#yes                      4.751940e+12
max                       4.469173e+12
none                      4.238707e+12
parallel                  3.568821e+12
min                       2.973722e+12
pollydefaulttilesize_4    2.050631e+10
dtype: float64","count    1955.000000
mean        8.207006
std        11.604775
min         0.002905
25%         1.358413
50%         3.119485
75%         9.646111
max        63.626474
Name: % error, dtype: float64",10
5,RandomForest,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.1,"1                       min
0              memory_based
2           polly_no_tiling
4               value_based
3                       max
5    pollydefaulttilesize_4
6                      none
7                     polly
8                  parallel
9                      #yes
Name: feature, dtype: object","count    1955.000000
mean        3.489131
std         6.747970
min         0.001211
25%         0.637418
50%         1.363795
75%         3.042590
max        52.299785
Name: % error, dtype: float64",10
6,GradientBoostingTree,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.1,"0              memory_based
2           polly_no_tiling
3                       max
1                       min
4               value_based
5    pollydefaulttilesize_4
7                     polly
6                      none
8                  parallel
9                      #yes
Name: feature, dtype: object","count    1955.000000
mean        3.402747
std         6.599672
min         0.000266
25%         0.701354
50%         1.315804
75%         2.967876
max        55.621110
Name: % error, dtype: float64",10
7,DecisionTree,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.1,"1                       min
0              memory_based
2           polly_no_tiling
5    pollydefaulttilesize_4
7                     polly
8                  parallel
6                      none
9                      #yes
3                       max
4               value_based
Name: feature, dtype: object","count    1.955000e+03
mean     3.212484e+00
std      6.369248e+00
min      1.038355e-13
25%      5.481537e-01
50%      1.254307e+00
75%      2.644886e+00
max      5.137931e+01
Name: % error, dtype: float64",10
8,LinearRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"min                       3.999029e+14
max                       3.999029e+14
memory_based              2.203795e+13
value_based               2.203795e+13
none                      1.100535e+11
polly                     1.100535e+11
polly_no_tiling           8.335938e+00
parallel                  1.593750e+00
#yes                      9.375000e-02
pollydefaulttilesize_4    1.562500e-02
dtype: float64","count    1738.000000
mean       27.771917
std        34.535200
min         0.061404
25%         5.626492
50%        16.795656
75%        29.938856
max       201.262433
Name: % error, dtype: float64",10
9,Lasso,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.02, max_iter=5)",Performance,0.2,"memory_based       9.561742e+00
polly_no_tiling    7.789658e+00
min                6.870869e+00
none               3.972721e+00
parallel           1.315071e+00
max                8.796484e-01
#yes               1.208127e-01
polly              1.410523e-16
dtype: float64","count    1738.000000
mean       27.829288
std        33.722399
min         0.049449
25%         7.253672
50%        16.248351
75%        27.734539
max       201.535033
Name: % error, dtype: float64",10
10,Ridge,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=0.3),Performance,0.2,"polly_no_tiling           7.930611
value_based               4.799947
memory_based              4.799947
min                       3.931878
max                       3.931878
none                      2.020755
polly                     2.020755
parallel                  1.446261
pollydefaulttilesize_4    0.112030
#yes                      0.098857
dtype: float64","count    1738.000000
mean       27.597879
std        33.083383
min         0.083283
25%         7.191729
50%        16.445474
75%        27.638921
max       197.791582
Name: % error, dtype: float64",10
11,ElasticNet,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.02, l1_ratio=1.0, max_iter=5)",Performance,0.2,"memory_based       9.561742e+00
polly_no_tiling    7.789658e+00
min                6.870869e+00
none               3.972721e+00
parallel           1.315071e+00
max                8.796484e-01
#yes               1.208127e-01
polly              1.410523e-16
dtype: float64","count    1738.000000
mean       27.829288
std        33.722399
min         0.049449
25%         7.253672
50%        16.248351
75%        27.734539
max       201.535033
Name: % error, dtype: float64",10
12,PolynomialRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.2,"memory_based              1.775568e+12
polly_no_tiling           1.461657e+12
min                       6.635139e+11
value_based               5.323853e+11
#yes                      3.873063e+11
pollydefaulttilesize_4    3.202822e+11
polly                     2.717048e+11
max                       2.605929e+11
none                      1.669833e+11
parallel                  6.811237e+10
dtype: float64","count    1738.000000
mean        6.672885
std        10.458332
min         0.002010
25%         1.609536
50%         3.036650
75%         6.732137
max        74.475555
Name: % error, dtype: float64",10
13,RandomForest,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.2,"1                       min
0              memory_based
2           polly_no_tiling
4               value_based
3                       max
5    pollydefaulttilesize_4
6                      none
7                     polly
8                  parallel
9                      #yes
Name: feature, dtype: object","count    1738.000000
mean        3.181987
std         6.542978
min         0.000125
25%         0.708363
50%         1.298113
75%         2.457894
max        53.312212
Name: % error, dtype: float64",10
14,GradientBoostingTree,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",GradientBoostingRegressor(),Performance,0.2,"0              memory_based
2           polly_no_tiling
3                       max
1                       min
4               value_based
5    pollydefaulttilesize_4
7                     polly
6                      none
8                  parallel
9                      #yes
Name: feature, dtype: object","count    1738.000000
mean        3.189870
std         6.739132
min         0.000079
25%         0.801661
50%         1.318360
75%         2.809059
max        57.514371
Name: % error, dtype: float64",10
15,DecisionTree,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",DecisionTreeRegressor(),Performance,0.2,"1                       min
0              memory_based
2           polly_no_tiling
5    pollydefaulttilesize_4
7                     polly
8                  parallel
6                      none
9                      #yes
3                       max
4               value_based
Name: feature, dtype: object","count    1.738000e+03
mean     3.182209e+00
std      6.621841e+00
min      1.952756e-14
25%      6.680744e-01
50%      1.274086e+00
75%      2.451842e+00
max      5.319816e+01
Name: % error, dtype: float64",10
16,LinearRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"polly_no_tiling           7.230332
value_based               4.612945
memory_based              4.612945
min                       3.775721
max                       3.775721
none                      2.013844
polly                     2.013844
parallel                  1.075462
pollydefaulttilesize_4    0.813288
#yes                      0.035486
dtype: float64","count    1521.000000
mean       28.382446
std        35.625311
min         0.142010
25%         6.770329
50%        15.168839
75%        26.578409
max       208.459814
Name: % error, dtype: float64",10
17,Lasso,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","Lasso(alpha=0.05, max_iter=100)",Performance,0.3,"memory_based              9.072555
polly_no_tiling           6.651518
min                       6.567898
none                      3.796606
max                       0.684883
parallel                  0.480121
pollydefaulttilesize_4    0.454205
#yes                      0.185027
value_based               0.000545
dtype: float64","count    1521.000000
mean       29.177264
std        37.820901
min         0.061152
25%         6.568154
50%        14.940354
75%        26.325019
max       221.834530
Name: % error, dtype: float64",10
18,Ridge,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",Ridge(alpha=4),Performance,0.3,"polly_no_tiling           6.804820
value_based               4.539941
memory_based              4.539941
max                       3.727213
min                       3.727213
polly                     1.983706
none                      1.983706
parallel                  0.886315
pollydefaulttilesize_4    0.787542
#yes                      0.118941
dtype: float64","count    1521.000000
mean       28.759292
std        36.737077
min         0.361008
25%         6.631547
50%        14.883170
75%        26.453350
max       214.434351
Name: % error, dtype: float64",10
19,ElasticNet,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')","ElasticNet(alpha=0.01, l1_ratio=0.0, max_iter=10)",Performance,0.3,"memory_based              6.623572
polly_no_tiling           6.505821
min                       5.158552
none                      2.857974
value_based               2.424149
max                       2.323907
polly                     1.099783
pollydefaulttilesize_4    0.775601
parallel                  0.760145
#yes                      0.187315
dtype: float64","count    1521.000000
mean       28.869242
std        37.010673
min         0.306156
25%         6.628176
50%        15.255673
75%        26.334444
max       216.479074
Name: % error, dtype: float64",10
20,PolynomialRegression,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",LinearRegression(),Performance,0.3,"polly_no_tiling           6.219856e+11
memory_based              2.351654e+11
max                       1.804268e+11
#yes                      1.799736e+11
pollydefaulttilesize_4    1.636896e+11
min                       1.094990e+11
parallel                  2.291987e+10
value_based               1.855354e+10
none                      1.192124e+10
polly                     1.191425e+10
dtype: float64","count    1521.000000
mean        7.062820
std        11.409082
min         0.000629
25%         1.448217
50%         2.985850
75%         6.594983
max        87.001538
Name: % error, dtype: float64",10
21,RandomForest,False,RandomForest,"Index(['memory_based', 'min', 'polly_no_tiling', 'max', 'value_based',
       'pollydefaulttilesize_4', 'none', 'polly', 'parallel', '#yes'],
      dtype='object')",RandomForestRegressor(),Performance,0.3,"1                       min
0              memory_based
2           polly_no_tiling
4               value_based
3                       max
5    pollydefaulttilesize_4
6                      none
7                     polly
8                  parallel
9                      #yes
Name: feature, dtype: object","count    1521.000000
mean        3.176628
std         6.656000
min         0.001853
25%         0.650000
50%         1.290184
75%         2.547028
max        54.436973
Name: % error, dtype: float64",10
