,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:26:50.892714,2023-06-15 22:27:16.021063
10,distBased,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:27:16.024766,2023-06-15 22:27:46.404830
20,distBased,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:27:46.442312,2023-06-15 22:28:13.191304
30,distBased,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:28:13.212218,2023-06-15 22:28:54.644926
40,distBased,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:28:54.732516,2023-06-15 22:29:38.141143
50,distBased,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 22:29:38.166900,2023-06-15 22:30:23.312517
60,distBased,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 22:30:23.338145,2023-06-15 22:31:08.026173
70,distBased,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 22:31:08.052282,2023-06-15 22:31:54.443006
80,distBased,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 22:31:54.465639,2023-06-15 22:32:53.419638
90,distBased,1.0,42,False,None,RandomForest,,,2023-06-15 22:26:50.890882,2023-06-15 22:32:53.465191
100,divDistBased,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:33:03.652069,2023-06-15 22:33:33.782203
110,divDistBased,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:33:33.804788,2023-06-15 22:34:08.954832
120,divDistBased,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:34:08.980207,2023-06-15 22:34:45.298621
130,divDistBased,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:34:45.338693,2023-06-15 22:35:23.442052
140,divDistBased,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:35:23.471242,2023-06-15 22:36:05.035225
150,divDistBased,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 22:36:05.056565,2023-06-15 22:36:50.905357
160,divDistBased,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 22:36:50.916572,2023-06-15 22:37:39.876773
170,divDistBased,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 22:37:39.905010,2023-06-15 22:38:28.607954
180,divDistBased,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 22:38:28.664446,2023-06-15 22:39:21.453906
190,divDistBased,1.0,42,False,None,RandomForest,,,2023-06-15 22:33:03.650493,2023-06-15 22:39:21.462989
200,henard,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:39:28.305287,2023-06-15 22:39:54.203912
210,henard,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:39:54.230114,2023-06-15 22:40:23.164813
220,henard,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:40:23.190591,2023-06-15 22:40:58.989115
230,henard,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:40:59.027751,2023-06-15 22:41:34.837978
240,henard,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:41:34.896066,2023-06-15 22:42:10.313760
250,henard,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 22:42:10.322567,2023-06-15 22:42:55.126693
260,henard,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 22:42:55.164010,2023-06-15 22:43:39.784871
270,henard,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 22:43:39.808189,2023-06-15 22:44:25.477816
280,henard,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 22:44:25.486986,2023-06-15 22:45:19.723868
290,henard,1.0,42,False,None,RandomForest,,,2023-06-15 22:39:28.303578,2023-06-15 22:45:19.793455
300,random,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:45:27.470568,2023-06-15 22:45:51.633342
310,random,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:45:51.655581,2023-06-15 22:46:22.069871
320,random,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:46:22.096319,2023-06-15 22:47:00.748820
330,random,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:47:00.758885,2023-06-15 22:47:37.753957
340,random,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:47:37.779060,2023-06-15 22:48:12.657244
350,random,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 22:48:12.710880,2023-06-15 22:48:59.723267
360,random,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 22:48:59.753328,2023-06-15 22:49:42.045858
370,random,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 22:49:42.054509,2023-06-15 22:50:32.673819
380,random,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 22:50:32.682017,2023-06-15 22:51:22.892017
390,random,1.0,42,False,None,RandomForest,,,2023-06-15 22:45:27.468796,2023-06-15 22:51:22.901351
400,solverBased,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:51:34.412323,2023-06-15 22:52:01.457051
410,solverBased,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:52:01.466412,2023-06-15 22:52:39.210570
420,solverBased,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:52:39.219310,2023-06-15 22:53:06.358538
430,solverBased,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:53:06.386305,2023-06-15 22:53:42.121150
440,solverBased,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:53:42.150099,2023-06-15 22:54:15.385347
450,solverBased,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 22:54:15.414476,2023-06-15 22:54:59.366311
460,solverBased,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 22:54:59.399299,2023-06-15 22:55:50.700647
470,solverBased,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 22:55:50.733783,2023-06-15 22:56:40.540993
480,solverBased,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 22:56:40.583949,2023-06-15 22:57:32.371028
490,solverBased,1.0,42,False,None,RandomForest,,,2023-06-15 22:51:34.410638,2023-06-15 22:57:32.380607
500,twise,1.0,42,False,None,RandomForest,0.1,False,2023-06-15 22:57:43.087665,2023-06-15 22:58:10.144672
510,twise,1.0,42,False,None,RandomForest,0.2,False,2023-06-15 22:58:10.202654,2023-06-15 22:58:42.281035
520,twise,1.0,42,False,None,RandomForest,0.3,False,2023-06-15 22:58:42.318683,2023-06-15 22:59:17.745604
530,twise,1.0,42,False,None,RandomForest,0.4,False,2023-06-15 22:59:17.798074,2023-06-15 22:59:48.749831
540,twise,1.0,42,False,None,RandomForest,0.5,False,2023-06-15 22:59:48.761261,2023-06-15 23:00:27.209488
550,twise,1.0,42,False,None,RandomForest,0.6,False,2023-06-15 23:00:27.236268,2023-06-15 23:01:09.321973
560,twise,1.0,42,False,None,RandomForest,0.7,False,2023-06-15 23:01:09.348818,2023-06-15 23:01:57.002530
570,twise,1.0,42,False,None,RandomForest,0.8,False,2023-06-15 23:01:57.035745,2023-06-15 23:02:40.955898
580,twise,1.0,42,False,None,RandomForest,0.9,False,2023-06-15 23:02:40.977560,2023-06-15 23:03:36.814266
