,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,42,False,None,DecisionTree,0.1,False,2023-06-18 18:07:39.228523,2023-06-18 18:08:02.394851
10,distBased,1.0,42,False,None,DecisionTree,0.2,False,2023-06-18 18:08:02.397379,2023-06-18 18:08:23.992587
20,distBased,1.0,42,False,None,DecisionTree,0.3,False,2023-06-18 18:08:24.000185,2023-06-18 18:08:51.284844
30,distBased,1.0,42,False,None,DecisionTree,0.4,False,2023-06-18 18:08:51.293498,2023-06-18 18:09:38.891895
40,distBased,1.0,42,False,None,DecisionTree,0.5,False,2023-06-18 18:09:38.910506,2023-06-18 18:10:38.888335
50,distBased,1.0,42,False,None,DecisionTree,0.6,False,2023-06-18 18:10:38.893565,2023-06-18 18:11:25.117062
60,distBased,1.0,42,False,None,DecisionTree,0.7,False,2023-06-18 18:11:25.124955,2023-06-18 18:12:01.170997
70,distBased,1.0,42,False,None,DecisionTree,0.8,False,2023-06-18 18:12:01.178451,2023-06-18 18:12:43.657818
80,distBased,1.0,42,False,None,DecisionTree,0.9,False,2023-06-18 18:12:43.690343,2023-06-18 18:13:29.979176
90,distBased,1.0,42,False,None,DecisionTree,,,2023-06-18 18:07:39.227113,2023-06-18 18:13:29.988538
100,divDistBased,1.0,42,False,None,DecisionTree,0.1,False,2023-06-18 18:13:36.154629,2023-06-18 18:14:08.189470
110,divDistBased,1.0,42,False,None,DecisionTree,0.2,False,2023-06-18 18:14:08.197982,2023-06-18 18:14:47.580006
120,divDistBased,1.0,42,False,None,DecisionTree,0.3,False,2023-06-18 18:14:47.600884,2023-06-18 18:15:36.185464
130,divDistBased,1.0,42,False,None,DecisionTree,0.4,False,2023-06-18 18:15:36.206358,2023-06-18 18:16:10.083832
140,divDistBased,1.0,42,False,None,DecisionTree,0.5,False,2023-06-18 18:16:10.108002,2023-06-18 18:16:52.746755
150,divDistBased,1.0,42,False,None,DecisionTree,0.6,False,2023-06-18 18:16:52.769622,2023-06-18 18:17:31.218100
160,divDistBased,1.0,42,False,None,DecisionTree,0.7,False,2023-06-18 18:17:31.226501,2023-06-18 18:18:13.962023
170,divDistBased,1.0,42,False,None,DecisionTree,0.8,False,2023-06-18 18:18:13.983770,2023-06-18 18:19:00.207152
180,divDistBased,1.0,42,False,None,DecisionTree,0.9,False,2023-06-18 18:19:00.217348,2023-06-18 18:19:44.258525
190,divDistBased,1.0,42,False,None,DecisionTree,,,2023-06-18 18:13:36.152755,2023-06-18 18:19:44.291379
200,henard,1.0,42,False,None,DecisionTree,0.1,False,2023-06-18 18:19:51.031577,2023-06-18 18:20:15.463259
210,henard,1.0,42,False,None,DecisionTree,0.2,False,2023-06-18 18:20:15.485118,2023-06-18 18:20:42.253410
220,henard,1.0,42,False,None,DecisionTree,0.3,False,2023-06-18 18:20:42.292114,2023-06-18 18:21:17.850828
230,henard,1.0,42,False,None,DecisionTree,0.4,False,2023-06-18 18:21:17.860707,2023-06-18 18:21:49.819953
240,henard,1.0,42,False,None,DecisionTree,0.5,False,2023-06-18 18:21:49.828865,2023-06-18 18:22:32.623337
