,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,Polly,LinearRegression,None,twise,25.30,26.25,26.60
1,Polly,LinearRegression,RandomForest,twise,26.29,26.78,26.40
2,Polly,Lasso,None,twise,25.36,26.86,26.56
3,Polly,Lasso,RandomForest,twise,25.50,26.65,26.57
4,Polly,Ridge,None,twise,25.41,26.47,26.59
5,Polly,Ridge,RandomForest,twise,25.51,26.50,26.45
6,Polly,ElasticNet,None,twise,25.36,26.86,26.56
7,Polly,ElasticNet,RandomForest,twise,25.61,26.65,26.57
8,Polly,RandomForest,None,twise,1.24,1.13,1.03
9,Polly,RandomForest,RandomForest,twise,1.53,1.70,1.50
10,Polly,PolynomialRegression,None,twise,nan,nan,nan
11,Polly,PolynomialRegression,RandomForest,twise,10.55,10.56,10.74
