Algorithm;System;%Features;N=30%;N=50%;N=70%;N=90%
RandomForest;Dune;0,3;19;20;23;25
;;0,4;19;21;24;26
;;0,5;20;22;25;26
;;0,6;20;22;26;28
;;1;27;29;34;36
;LLVM;0,3;12;12;12;12
;;0,4;12;12;11;13
;;0,5;12;12;12;12
;;0,6;12;12;12;12
;;1;13;12;12;13
;x264;0,3;8;8;8;8
;;0,4;8;8;8;8
;;0,5;8;8;8;8
;;0,6;8;8;8;8
;;1;8;8;8;8
;BerkeleyDBC;0,3;12;12;14;14
;;0,4;12;13;14;14
;;0,5;13;13;14;14
;;0,6;13;13;14;14
;;1;13;14;15;16
;Irzip;0,3;12;13;14;14
;;0,4;12;13;14;14
;;0,5;13;13;14;14
;;0,6;13;14;15;14
;;1;14;15;17;16
;Polly;0,3;23;27;29;33
;;0,4;24;28;31;34
;;0,5;25;30;33;37
;;0,6;27;33;37;42
;;1;33;40;43;48
;7z;0,3;36;50;62;71
;;0,4;39;54;67;78
;;0,5;42;59;77;88
;;0,6;50;72;93;107
;;1;58;79;100;113
DecisionTree;Dune;0,3;19;20;23;25
;;0,4;19;21;24;26
;;0,5;20;22;25;26
;;0,6;20;22;26;28
;;1;27;29;34;36
;LLVM;0,3;12;12;12;12
;;0,4;12;12;11;13
;;0,5;12;12;12;12
;;0,6;12;12;12;12
;;1;13;12;12;13
;x264;0,3;8;8;8;8
;;0,4;8;8;8;8
;;0,5;8;8;8;8
;;0,6;8;8;8;8
;;1;8;8;8;8
;BerkeleyDBC;0,3;12;12;14;14
;;0,4;12;13;14;14
;;0,5;13;13;14;14
;;0,6;13;13;14;14
;;1;13;14;15;16
;Irzip;0,3;12;13;14;14
;;0,4;12;13;14;14
;;0,5;13;13;14;14
;;0,6;13;14;15;14
;;1;14;15;17;16
;Polly;0,3;23;27;29;33
;;0,4;24;28;31;34
;;0,5;25;30;33;37
;;0,6;27;33;37;42
;;1;33;40;43;48
;7z;0,3;36;50;62;71
;;0,4;39;54;67;78
;;0,5;42;59;77;88
;;0,6;50;72;93;107
;;1;58;79;100;113
