,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,0.3,4,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:32:19.338054,2023-06-21 01:32:27.691116
10,distBased,0.3,4,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:32:27.695341,2023-06-21 01:32:39.181357
20,distBased,0.3,4,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:32:39.189738,2023-06-21 01:32:57.620047
30,distBased,0.3,4,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:32:57.629566,2023-06-21 01:33:19.811751
40,distBased,0.3,4,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:33:19.820580,2023-06-21 01:33:47.493597
50,distBased,0.3,4,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:33:47.502951,2023-06-21 01:34:15.854099
60,distBased,0.3,4,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:34:15.862966,2023-06-21 01:34:52.672687
70,distBased,0.3,4,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:34:52.681387,2023-06-21 01:35:16.078929
80,distBased,0.3,4,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:35:16.087651,2023-06-21 01:35:26.556059
90,distBased,0.3,4,True,RandomForest,DecisionTree,,,2023-06-21 01:32:18.848809,2023-06-21 01:35:26.564440
100,distBased,0.4,6,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:35:27.845493,2023-06-21 01:35:37.753995
110,distBased,0.4,6,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:35:37.762715,2023-06-21 01:35:47.034082
120,distBased,0.4,6,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:35:47.051009,2023-06-21 01:35:58.655115
130,distBased,0.4,6,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:35:58.664103,2023-06-21 01:36:12.328192
140,distBased,0.4,6,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:36:12.337940,2023-06-21 01:36:25.248039
150,distBased,0.4,6,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:36:25.257125,2023-06-21 01:36:33.611503
160,distBased,0.4,6,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:36:33.620511,2023-06-21 01:36:44.910996
170,distBased,0.4,6,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:36:44.919793,2023-06-21 01:36:55.270419
180,distBased,0.4,6,True,RandomForest,DecisionTree,0.9,False,2023-06-21 01:36:55.279200,2023-06-21 01:37:06.039926
190,distBased,0.4,6,True,RandomForest,DecisionTree,,,2023-06-21 01:35:27.347430,2023-06-21 01:37:06.066516
200,distBased,0.5,8,True,RandomForest,DecisionTree,0.1,False,2023-06-21 01:37:07.743257,2023-06-21 01:37:17.959309
210,distBased,0.5,8,True,RandomForest,DecisionTree,0.2,False,2023-06-21 01:37:17.969853,2023-06-21 01:37:28.752281
220,distBased,0.5,8,True,RandomForest,DecisionTree,0.3,False,2023-06-21 01:37:28.761261,2023-06-21 01:37:41.880073
230,distBased,0.5,8,True,RandomForest,DecisionTree,0.4,False,2023-06-21 01:37:41.889201,2023-06-21 01:37:54.821401
240,distBased,0.5,8,True,RandomForest,DecisionTree,0.5,False,2023-06-21 01:37:54.845054,2023-06-21 01:38:10.189631
250,distBased,0.5,8,True,RandomForest,DecisionTree,0.6,False,2023-06-21 01:38:10.199079,2023-06-21 01:38:24.131846
260,distBased,0.5,8,True,RandomForest,DecisionTree,0.7,False,2023-06-21 01:38:24.150034,2023-06-21 01:38:37.589786
270,distBased,0.5,8,True,RandomForest,DecisionTree,0.8,False,2023-06-21 01:38:37.599136,2023-06-21 01:38:51.852751
