,SampleAlgorithm,%FeatureSelection,#Features,FeatureImportance,OriginalFS,Algorithm,%Configurations,Dummy,StartTime,EndTime
0,distBased,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:07:02.414518,2023-06-18 17:07:10.171658
10,distBased,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:07:10.175306,2023-06-18 17:07:18.002653
20,distBased,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:07:18.011203,2023-06-18 17:07:24.587195
30,distBased,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:07:24.595755,2023-06-18 17:07:32.072475
40,distBased,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:07:32.080373,2023-06-18 17:07:40.455984
50,distBased,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:07:40.496140,2023-06-18 17:07:47.535244
60,distBased,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:07:47.543978,2023-06-18 17:07:57.466242
70,distBased,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:07:57.474329,2023-06-18 17:08:05.448948
80,distBased,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:08:05.456877,2023-06-18 17:08:13.194375
90,distBased,1.0,19,False,None,RandomForest,,,2023-06-18 17:07:02.413147,2023-06-18 17:08:13.218502
100,divDistBased,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:08:15.964710,2023-06-18 17:08:22.822701
110,divDistBased,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:08:22.831082,2023-06-18 17:08:30.375099
120,divDistBased,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:08:30.383444,2023-06-18 17:08:38.094776
130,divDistBased,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:08:38.103086,2023-06-18 17:08:44.649884
140,divDistBased,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:08:44.670646,2023-06-18 17:08:51.856041
150,divDistBased,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:08:51.864492,2023-06-18 17:09:01.116613
160,divDistBased,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:09:01.124897,2023-06-18 17:09:08.543815
170,divDistBased,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:09:08.567971,2023-06-18 17:09:16.665440
180,divDistBased,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:09:16.673918,2023-06-18 17:09:25.513236
190,divDistBased,1.0,19,False,None,RandomForest,,,2023-06-18 17:08:15.963211,2023-06-18 17:09:25.521853
200,henard,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:09:26.365772,2023-06-18 17:09:33.062102
210,henard,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:09:33.079558,2023-06-18 17:09:40.547630
220,henard,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:09:40.555911,2023-06-18 17:09:48.004955
230,henard,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:09:48.013084,2023-06-18 17:09:54.178778
240,henard,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:09:54.187284,2023-06-18 17:10:00.967198
250,henard,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:10:00.984504,2023-06-18 17:10:09.142062
260,henard,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:10:09.150498,2023-06-18 17:10:16.600747
270,henard,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:10:16.608896,2023-06-18 17:10:23.763652
280,henard,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:10:23.771784,2023-06-18 17:10:31.623724
290,henard,1.0,19,False,None,RandomForest,,,2023-06-18 17:09:26.364188,2023-06-18 17:10:31.631935
300,random,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:10:32.851364,2023-06-18 17:10:38.875060
310,random,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:10:38.883627,2023-06-18 17:10:45.653411
320,random,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:10:45.686231,2023-06-18 17:10:52.802524
330,random,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:10:52.807924,2023-06-18 17:11:00.379183
340,random,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:11:00.387253,2023-06-18 17:11:08.319711
350,random,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:11:08.329838,2023-06-18 17:11:15.542713
360,random,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:11:15.550303,2023-06-18 17:11:21.574683
370,random,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:11:21.582695,2023-06-18 17:11:28.889768
380,random,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:11:28.897390,2023-06-18 17:11:36.309505
390,random,1.0,19,False,None,RandomForest,,,2023-06-18 17:10:32.850051,2023-06-18 17:11:36.329409
400,solverBased,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:11:38.201776,2023-06-18 17:11:45.426937
410,solverBased,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:11:45.434934,2023-06-18 17:11:51.171225
420,solverBased,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:11:51.176737,2023-06-18 17:11:58.964502
430,solverBased,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:11:58.972227,2023-06-18 17:12:05.972308
440,solverBased,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:12:05.999997,2023-06-18 17:12:13.341307
450,solverBased,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:12:13.349275,2023-06-18 17:12:20.774030
460,solverBased,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:12:20.798031,2023-06-18 17:12:29.308915
470,solverBased,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:12:29.333844,2023-06-18 17:12:37.096199
480,solverBased,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:12:37.120531,2023-06-18 17:12:44.968523
490,solverBased,1.0,19,False,None,RandomForest,,,2023-06-18 17:11:38.200396,2023-06-18 17:12:44.976741
500,twise,1.0,19,False,None,RandomForest,0.1,False,2023-06-18 17:12:46.183436,2023-06-18 17:12:53.844556
510,twise,1.0,19,False,None,RandomForest,0.2,False,2023-06-18 17:12:53.874311,2023-06-18 17:13:01.036053
520,twise,1.0,19,False,None,RandomForest,0.3,False,2023-06-18 17:13:01.068951,2023-06-18 17:13:07.607636
530,twise,1.0,19,False,None,RandomForest,0.4,False,2023-06-18 17:13:07.632365,2023-06-18 17:13:14.492477
540,twise,1.0,19,False,None,RandomForest,0.5,False,2023-06-18 17:13:14.500863,2023-06-18 17:13:23.809557
550,twise,1.0,19,False,None,RandomForest,0.6,False,2023-06-18 17:13:23.833663,2023-06-18 17:13:31.528343
560,twise,1.0,19,False,None,RandomForest,0.7,False,2023-06-18 17:13:31.536630,2023-06-18 17:13:40.019375
570,twise,1.0,19,False,None,RandomForest,0.8,False,2023-06-18 17:13:40.027713,2023-06-18 17:13:47.194181
580,twise,1.0,19,False,None,RandomForest,0.9,False,2023-06-18 17:13:47.218303,2023-06-18 17:13:54.319559
590,twise,1.0,19,False,None,RandomForest,,,2023-06-18 17:12:46.181883,2023-06-18 17:13:54.328315
