,System,Algorithm,Feature Selection,Technique,N=50,N=80,N=90
0,x264,LinearRegression,None,twise,7.14,6.04,6.58
1,x264,LinearRegression,RandomForest,twise,8.22,7.46,7.72
2,x264,Lasso,None,twise,7.02,6.20,6.68
3,x264,Lasso,RandomForest,twise,8.17,7.44,7.74
4,x264,Ridge,None,twise,7.05,6.27,6.59
5,x264,Ridge,RandomForest,twise,8.19,7.47,7.75
6,x264,ElasticNet,None,twise,7.02,6.20,6.68
7,x264,ElasticNet,RandomForest,twise,8.17,7.44,7.74
8,x264,RandomForest,None,twise,1.91,0.61,0.34
9,x264,RandomForest,RandomForest,twise,5.02,3.94,3.55
10,x264,PolynomialRegression,None,twise,nan,nan,nan
11,x264,PolynomialRegression,RandomForest,twise,5.05,5.88,3.47
