,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,x264,LinearRegression,None,twise,7.82,7.14,6.70,6.58
1,x264,LinearRegression,RandomForest,twise,8.80,8.22,8.26,7.72
2,x264,Lasso,None,twise,7.56,7.02,6.59,6.68
3,x264,Lasso,RandomForest,twise,8.59,8.17,8.22,7.74
4,x264,Ridge,None,twise,7.79,7.05,6.70,6.59
5,x264,Ridge,RandomForest,twise,8.71,8.19,8.25,7.75
6,x264,ElasticNet,None,twise,7.56,7.02,6.59,6.68
7,x264,ElasticNet,RandomForest,twise,8.59,8.17,8.23,7.74
8,x264,RandomForest,None,twise,3.34,1.90,1.11,0.30
9,x264,RandomForest,RandomForest,twise,5.47,5.02,4.94,3.52
10,x264,GradientBoostingTree,None,twise,1.51,1.28,0.81,0.36
11,x264,GradientBoostingTree,RandomForest,twise,5.55,5.03,4.97,3.49
12,x264,DecisionTree,None,twise,2.13,1.40,0.57,0.18
13,x264,DecisionTree,RandomForest,twise,5.55,5.03,4.97,3.49
14,x264,PolynomialRegression,None,twise,nan,nan,nan,nan
15,x264,PolynomialRegression,RandomForest,twise,5.55,5.05,4.97,3.47
