root;HAVE_CRYPTO;HAVE_HASH;HAVE_REPLICATION;HAVE_VERIFY;HAVE_SEQUENCE;HAVE_STATISTICS;DIAGNOSTIC;PAGESIZE;PS1K;PS4K;PS8K;PS16K;PS32K;CACHESIZE;CS32MB;CS16MB;CS64MB;CS512MB;Performance
1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;10.7562264102564
1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.75464147368421
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.501547205128205
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;1;0.510615487179487
1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;1;0.502242282051282
1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0.508516763157895
1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0.483833179487179
1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;10.7529484473684
1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.749533179487179
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.499727368421052
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0.513024263157895
1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;1;0;0;0;0.501874769230769
1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0.485087263157895
1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0.506797
1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.753564461538461
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.500295358974359
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0.512697487179487
1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;1;0;0;0.508784916666666
1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;1;0;0;0.51007441025641
1;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0.582306230769231
1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;3.25199935897436
1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;1;0;0;10.7813827692308
1;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.368129487179487
1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;1;0;0;0.485192871794872
1;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.52050541025641
1;0;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.498180564102564
1;0;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.511676315789474
1;0;0;1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.498571641025641
1;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0.500653205128205
1;0;0;0;1;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0.499725102564103
1;0;0;1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0.505930923076923
1;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0.50964341025641
1;0;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0.51027876923077
1;0;0;0;0;0;1;1;1;0;0;1;0;0;1;0;0;1;0;0.512519487179487
1;0;0;0;1;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0.523740153846154
1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0.48593917948718
1;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0.499176794871795
1;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0.507866538461539
1;0;0;0;0;1;0;1;1;0;0;1;0;0;1;0;0;1;0;0.505544743589744
1;0;0;0;0;1;1;0;1;0;0;1;0;0;1;0;0;1;0;0.501216333333333
1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.750865128205128
1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.743481657894737
1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0.753704717948718
1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;0.73257817948718
1;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;0.750266487179487
1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0.534583358974359
1;0;1;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;0.772413871794872
1;1;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7515235128205
1;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7632543243243
1;1;0;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7439998461538
1;1;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;10.7563317777778
1;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;1;0;10.742288972973
1;1;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;0;10.9150858205128
1;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;1;0;10.7399238974359
1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1.25694351282051
1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0.631542692307692
1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1.26100805405405
1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0.643458307692308
1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;0.630553794871795
1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;1.25427547368421
1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0.633665897435897
1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;1.24158476315789
1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0.630504846153846
1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0.638332128205128
1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0.634213025641025
1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;1.30764697297297
1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0.640399923076923
1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;1;0;0;0.638432769230769
1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0.657110923076923
1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0.618145461538462
1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;1.2566481025641
1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0.633223384615385
1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0.640325230769231
1;0;0;0;0;1;0;1;1;0;0;0;1;0;1;0;1;0;0;0.636637256410257
1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0.630715769230769
1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;20.0033302307692
1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;21.2565189487179
1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;1;0;0;19.9823619210526
1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;1;0;0;19.9645311351351
1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;1;0;0;19.9746037368421
1;0;0;0;0;1;0;0;1;1;0;0;0;0;1;0;1;0;0;0.504412666666667
1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;20.0257292368421
1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;19.9609112631579
1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1.25254310810811
1;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0.62926582051282
1;0;1;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1.24749945945946
1;0;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0.64052
1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0.629887076923077
1;0;1;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;1.25802888888889
1;0;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0.631982923076923
1;0;1;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;1.24368797368421
1;0;0;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0.631441871794872
1;0;0;1;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;0.63781241025641
1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0.633404692307692
1;0;1;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;1.30443723076923
1;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0.641200820512821
1;0;0;0;0;0;1;1;1;0;0;0;1;0;1;0;0;1;0;0.635487076923077
1;0;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;1;0;0.651508564102564
1;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;20.0178024871795
1;1;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;21.2528075384615
1;1;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;1;0;20.0215923157895
1;0;0;0;1;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0.535565435897436
1;1;0;0;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;20.0015262894737
1;1;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;1;0;19.9952955384615
1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;19.9648105897436
1;0;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0.614594205128205
1;0;1;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;1.25771371794872
1;0;0;1;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0.631724871794872
1;0;0;0;1;1;0;0;1;0;0;0;1;0;1;0;0;1;0;0.641430794871795
1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0.63332082051282
1;1;0;0;0;1;0;0;1;0;0;0;1;0;1;0;0;1;0;20.0117786666667
