root;time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;1;0;0;1;0;0;0;0;1;0;221.606666666667
1;1;0;1;0;0;1;0;0;0;0;0;224.073333333333
1;1;0;1;0;1;0;0;0;0;0;0;234.08
1;1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;0;1;0;1;1;0;0;0;0;1;235.91
1;1;0;0;0;0;1;1;0;0;1;0;205.363333333333
1;1;0;0;0;0;0;0;0;0;0;0;210.44
1;1;1;0;0;0;0;0;0;0;0;0;234.68
1;1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;1;0;0;1;0;0;0;0;0;0;0;208.92
1;1;0;0;0;1;0;0;0;0;0;0;208.046666666667
1;1;0;0;0;0;1;0;0;0;0;0;206.9
1;1;1;1;1;1;0;0;0;0;0;0;243.783333333333
1;1;0;1;1;0;1;0;1;1;1;1;251.913333333333
1;1;0;0;0;0;0;0;1;1;1;1;214.326666666667
1;1;0;1;1;0;0;0;0;0;0;0;224.95
1;1;1;1;1;1;1;0;1;1;1;1;267.51
1;1;0;1;1;1;1;1;1;0;1;1;249.36
1;1;1;1;1;1;1;1;1;1;0;1;252.446666666667
1;1;0;1;1;1;1;1;1;1;1;1;265.816666666667
1;1;1;1;1;1;1;1;1;1;1;1;253.673333333333
1;1;0;0;0;0;1;0;0;1;1;0;203.53
1;1;0;1;1;1;1;1;0;1;1;0;231.326666666667
1;1;0;0;0;0;1;0;1;0;1;0;201.47
1;1;1;0;0;0;0;0;1;1;1;0;225.62
1;1;1;0;0;0;0;1;0;1;1;0;226.566666666667
1;1;0;0;0;0;1;1;1;1;0;0;204.73
1;1;1;1;0;0;0;1;1;0;0;0;242.786666666667
1;1;1;1;0;1;1;1;1;0;0;0;244.606666666667
1;1;1;1;1;0;0;0;0;0;0;0;244.03
1;1;1;1;1;0;1;0;1;1;0;0;249.566666666667
1;1;1;0;1;1;0;0;1;1;1;0;236.84
1;1;1;1;1;1;1;0;0;0;0;0;243.283333333333
1;1;1;1;1;1;1;0;1;1;0;0;251.013333333333
1;1;1;1;1;1;1;0;1;1;1;0;255.873333333333
1;1;1;1;1;1;1;1;0;0;0;0;244.253333333333
1;1;1;1;1;1;1;1;1;0;0;0;241.693333333333
1;1;1;1;1;1;1;1;1;1;0;0;240.543333333333
1;1;1;1;1;1;1;1;1;1;1;0;245.343333333333
1;1;0;0;0;1;0;1;1;1;0;1;218.036666666667
1;1;0;0;0;1;1;1;1;0;0;0;204.513333333333
1;1;0;0;1;1;0;1;1;0;0;1;259.366666666667
1;1;0;0;1;0;1;1;0;0;0;1;265.69
1;1;0;0;1;1;1;1;1;0;1;1;263.186666666667
1;1;1;0;1;0;1;1;0;0;0;1;253.393333333333
1;1;1;0;1;0;1;1;0;1;1;1;254.266666666667
1;1;1;0;1;0;1;1;1;1;1;1;254.59
1;1;1;0;0;1;1;0;1;1;1;1;236.58
1;1;1;0;1;1;1;1;1;1;1;1;241.226666666667
1;1;1;1;0;1;0;1;1;0;1;1;249.41
1;1;1;1;0;1;1;0;1;0;1;1;248.903333333333
1;1;1;1;1;0;0;1;0;1;1;1;262.663333333333
1;1;1;1;1;0;1;1;1;1;0;1;263.716666666667
1;1;0;0;1;0;1;0;0;0;1;0;209.583333333333
1;1;1;1;1;1;0;1;0;1;1;1;268.41
1;1;1;1;1;1;0;1;1;0;1;1;261.363333333333
