root;time_passes;gvn;instcombine;inline;jump_threading;simplifycfg;sccp;print_used_types;ipsccp;iv_users;licm;Performance
1;1;0;0;0;0;0;0;0;0;1;0;210.34
1;1;1;0;0;0;0;0;0;0;1;0;219.153333333333
1;1;0;1;0;0;0;0;0;0;1;0;216.403333333333
1;1;0;0;1;0;0;0;0;0;1;0;207.746666666667
1;1;0;0;0;1;0;0;0;0;1;0;199.683333333333
1;1;0;0;0;0;1;0;0;0;1;0;200.38
1;1;0;0;0;0;0;1;0;0;1;0;200.66
1;1;0;0;0;0;0;0;1;0;1;0;203.18
1;1;0;0;0;0;0;0;0;1;1;0;202.233333333333
1;1;0;0;0;0;0;0;0;0;1;1;212.446666666667
1;1;1;0;0;1;0;0;0;0;0;0;232.2
1;1;1;0;0;0;0;0;0;0;0;1;267.426666666667
1;1;0;0;0;1;0;0;0;0;0;1;220.08
1;1;0;0;0;1;1;0;0;0;0;0;205.946666666667
1;1;1;0;0;0;1;0;0;0;0;0;230.74
1;1;0;0;0;0;1;0;0;0;0;1;219.496666666667
1;1;0;1;0;0;1;0;0;0;0;0;224.073333333333
1;1;0;1;0;1;0;0;0;0;0;0;234.08
1;1;1;1;0;0;0;0;0;0;0;0;232.7
1;1;0;1;0;0;0;0;0;0;0;1;257.333333333333
1;1;0;1;0;0;0;1;0;0;0;0;222.433333333333
1;1;0;0;0;0;1;1;0;0;0;0;205.206666666667
1;1;0;0;0;1;0;1;0;0;0;0;207.233333333333
1;1;1;0;0;0;0;1;0;0;0;0;229.166666666667
1;1;0;0;0;0;0;1;0;0;0;1;217.396666666667
1;1;1;0;0;0;0;0;0;0;0;0;234.68
1;1;0;1;0;0;0;0;0;0;0;0;219.636666666667
1;1;0;0;1;0;0;0;0;0;0;0;208.92
1;1;0;0;0;1;0;0;0;0;0;0;208.046666666667
1;1;0;0;0;0;1;0;0;0;0;0;206.9
1;1;0;0;0;0;0;1;0;0;0;0;204.986666666667
1;1;0;0;0;0;0;0;1;0;0;0;204.053333333333
1;1;0;0;0;0;0;0;0;1;0;0;201.153333333333
1;1;0;0;0;0;0;0;0;0;0;1;258.826666666667
1;1;0;0;0;0;0;0;1;0;0;1;216.636666666667
1;1;1;0;1;0;0;0;0;0;0;0;248.016666666667
1;1;1;0;0;0;0;0;1;0;0;0;227.853333333333
1;1;1;0;0;0;0;0;0;1;0;0;224.43
1;1;0;1;1;0;0;0;0;0;0;0;224.95
1;1;0;1;0;0;0;0;1;0;0;0;221.376666666667
1;1;0;1;0;0;0;0;0;1;0;0;218.816666666667
1;1;0;0;1;1;0;0;0;0;0;0;217.29
1;1;0;0;1;0;1;0;0;0;0;0;218.153333333333
1;1;0;0;1;0;0;1;0;0;0;0;214.72
1;1;0;0;1;0;0;0;1;0;0;0;213.183333333333
1;1;0;0;1;0;0;0;0;1;0;0;209.703333333333
1;1;0;0;1;0;0;0;0;0;0;1;220.866666666667
1;1;0;0;0;1;0;0;1;0;0;0;204.686666666667
1;1;0;0;0;1;0;0;0;1;0;0;201.546666666667
1;1;0;0;0;0;1;0;1;0;0;0;207.12
1;1;0;0;0;0;1;0;0;1;0;0;201.833333333333
1;1;0;0;0;0;0;1;1;0;0;0;202.386666666667
1;1;0;0;0;0;0;1;0;1;0;0;203.636666666667
1;1;0;0;0;0;0;0;1;1;0;0;199.953333333333
1;1;0;0;0;0;0;0;0;1;0;1;213.266666666667
